time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
1345.035,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.043,0,1.244464,2.80571,335.6389,179.939,25.61042
1345.062,0,1.244464,2.80571,335.6389,179.939,25.61042
1345.071,0,1.244464,2.80571,335.6389,179.939,25.61042
1345.078,0,1.244464,2.80571,335.6389,179.939,25.61042
1345.088,0,1.244464,2.80571,335.6389,179.939,25.53717
1345.1,0,1.244464,2.80571,335.6389,179.939,25.53717
1345.104,0,1.244464,2.80571,335.6389,179.939,25.53717
1345.114,0,1.244464,2.80571,335.6389,179.939,25.53717
1345.12,0,1.244464,2.80571,335.6389,179.939,25.53717
1345.129,0,1.244464,2.80571,335.6389,179.9952,25.63955
1345.138,0,1.244464,2.80571,335.6389,179.9952,25.63955
1345.146,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.155,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.164,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.175,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.183,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.193,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.203,0,1.244464,2.80571,335.7121,179.9389,25.61043
1345.211,0,1.244464,2.80571,335.7121,179.9389,25.61043
1345.222,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.23,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.24,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.249,0,1.244464,2.80571,335.6389,179.939,25.53717
1345.267,0,1.244464,2.80571,335.6389,180.0515,25.59544
1345.276,0,1.244464,2.80571,335.6389,180.0515,25.59544
1345.283,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.291,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.297,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.305,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.314,0,1.244464,2.80571,335.6389,179.9952,25.5663
1345.323,0,1.244465,2.80571,335.6389,179.9952,25.5663
1345.333,0,1.244465,2.80571,335.6389,179.9952,25.5663
