time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
20.44393,0.069316,1.10005,-1.609436,313.231,202.1733,203.7843
20.45417,0.069316,1.10005,-1.609436,313.231,202.1733,203.7843
20.46393,0.062694,1.10005,-1.606852,313.3187,202.1108,203.9028
20.474,0.062694,1.10005,-1.606852,313.3187,202.1108,203.9028
20.48577,0.059394,1.10005,-1.606877,313.2392,202.0579,203.9178
20.49582,0.059394,1.10005,-1.606877,313.2392,202.0579,203.9178
20.50633,0.059394,1.10005,-1.606877,313.2987,201.8696,203.9734
20.51646,0.059394,1.10005,-1.606877,313.2987,201.8696,203.9734
20.52631,0.059394,1.10005,-1.606877,313.3649,201.7698,204.0054
20.53691,0.059394,1.10005,-1.606877,313.3649,201.7698,204.0054
20.54749,0.059394,1.10005,-1.606877,313.4311,201.67,204.0373
20.55718,0.059394,1.10005,-1.606877,313.4311,201.67,204.0373
20.56712,0.059394,1.10005,-1.606877,313.418,201.4935,204.0844
20.57807,0.059394,1.10005,-1.606877,313.418,201.4935,204.0844
20.58737,0.059394,1.10005,-1.606877,313.4051,201.317,204.1316
20.59846,0.059394,1.10005,-1.606877,313.4051,201.317,204.1316
20.60876,0.059394,1.10005,-1.606877,313.4779,201.3057,204.1398
20.61949,0.059394,1.10005,-1.606877,313.4779,201.3057,204.1398
20.62693,0.059394,1.10005,-1.606877,313.4714,201.2174,204.1634
20.63968,0.059394,1.10005,-1.606877,313.4714,201.2174,204.1634
20.64952,0.052778,1.10005,-1.604285,313.4138,201.1784,204.1181
20.65942,0.052778,1.10005,-1.604285,313.4138,201.1784,204.1181
20.66927,0.04618,1.10005,-1.604325,313.4803,201.1261,204.2231
20.67926,0.04618,1.10005,-1.604325,313.4803,201.1261,204.2231
20.68889,0.042882,1.10005,-1.604344,313.4739,201.0614,204.2466
20.70051,0.042882,1.10005,-1.604344,313.4676,200.9731,204.2703
20.71065,0.042882,1.10005,-1.604344,313.4676,200.9731,204.2703
20.72049,0.042882,1.10005,-1.604344,313.3821,200.8075,204.2363
20.73095,0.042882,1.10005,-1.604344,313.3821,200.8075,204.2363
20.74114,0.042882,1.10005,-1.604344,313.455,200.7965,204.3175
20.75193,0.042882,1.10005,-1.604344,313.455,200.7965,204.3175
20.76097,0.04615,1.10005,-1.599047,313.4257,200.7662,204.3341
20.77229,0.04615,1.10005,-1.599047,313.4257,200.7662,204.3341
20.78255,0.049381,1.10005,-1.588469,313.5067,200.619,204.4063
20.79274,0.049381,1.10005,-1.588469,313.5067,200.619,204.4063
20.80269,0.049247,1.10005,-1.566624,313.6811,200.5489,204.5031
20.81375,0.049247,1.10005,-1.566624,313.6811,200.5489,204.5031
20.82292,0.049018,1.100049,-1.529606,313.8859,200.3591,204.6742
20.83368,0.049018,1.100049,-1.529606,313.8859,200.3591,204.6742
20.84388,0.04865,1.100049,-1.469905,314.1204,200.1232,204.9229
20.85466,0.04865,1.100049,-1.469905,314.1204,200.1232,204.9229
20.86433,0.051368,1.100048,-1.390022,314.5363,199.8865,205.2401
20.87459,0.051368,1.100048,-1.390022,314.5363,199.8865,205.2401
20.88441,0.053985,1.100048,-1.305084,314.8969,199.5688,205.5773
20.89509,0.053985,1.100048,-1.305084,314.8969,199.5688,205.5773
20.90445,0.059665,1.100048,-1.219138,315.3366,199.3089,205.8961
20.91604,0.059665,1.100048,-1.219138,315.3366,199.3089,205.8961
20.9257,0.05895,1.100048,-1.127635,315.8431,199.0775,206.1698
20.93625,0.05895,1.100048,-1.127635,315.8431,199.0775,206.1698
20.95564,0.05796,1.100048,-1.000976,316.5419,198.7697,206.7076
20.96705,0.05766,1.100048,-0.962611,316.6823,198.6876,206.8364
20.97299,0.05766,1.100048,-0.962611,316.6823,198.6876,206.8364
20.97795,0.05766,1.100048,-0.962611,316.6823,198.6876,206.8364
20.98834,0.057087,1.100049,-0.889232,317.0045,198.429,207.1262
20.99962,0.057087,1.100049,-0.889232,317.0045,198.429,207.1262
21.00937,0.05654,1.100049,-0.819194,317.2837,198.1875,207.3907
21.02045,0.052954,1.100049,-0.736774,317.5545,197.8766,207.6888
21.03088,0.052954,1.100049,-0.736774,317.5545,197.8766,207.6888
21.04095,0.049451,1.100048,-0.656593,317.8049,197.5762,207.8972
21.0516,0.049451,1.100048,-0.656593,317.8049,197.5762,207.8972
21.06207,0.048903,1.100048,-0.5782,317.9838,197.2593,208.1703
21.07236,0.048903,1.100048,-0.5782,317.9838,197.2593,208.1703
21.08177,0.048392,1.100049,-0.505097,318.2474,197.1139,208.3986
21.09244,0.048392,1.100049,-0.505097,318.2474,197.1139,208.3986
21.10284,0.047848,1.100048,-0.427253,318.4812,196.8825,208.7219
