time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
9.20447,-0.024103,2.05005,-1.556164,315.4486,173.3135,137.1397
9.213733,-0.024103,2.05005,-1.556164,315.4486,173.3135,137.1397
9.220692,-0.024103,2.05005,-1.556164,315.4514,173.2212,137.3921
9.225368,-0.024103,2.05005,-1.556164,315.4514,173.2212,137.3921
9.228323,-0.024103,2.05005,-1.556164,315.4514,173.2212,137.3921
9.231693,-0.024103,2.05005,-1.556164,315.4514,173.2212,137.3921
9.235085,-0.024103,2.05005,-1.556164,315.4514,173.2212,137.3921
9.237717,-0.024103,2.05005,-1.556164,315.4514,173.2212,137.3921
9.241221,-0.024106,2.05005,-1.557123,315.384,173.0321,137.6071
9.244301,-0.024106,2.05005,-1.557123,315.384,173.0321,137.6071
9.246847,-0.024106,2.05005,-1.557123,315.384,173.0321,137.6071
9.249757,-0.024106,2.05005,-1.557123,315.384,173.0321,137.6071
9.252793,-0.024106,2.05005,-1.557123,315.384,173.0321,137.6071
9.256169,-0.024106,2.05005,-1.557123,315.384,173.0321,137.6071
9.258883,-0.024106,2.05005,-1.557123,315.384,173.0321,137.6071
9.261814,-0.024106,2.05005,-1.557123,315.3167,172.8427,137.7491
9.26499,-0.024106,2.05005,-1.557123,315.3167,172.8427,137.7491
9.26804,-0.024106,2.05005,-1.557123,315.3167,172.8427,137.7491
9.271624,-0.024106,2.05005,-1.557123,315.3167,172.8427,137.7491
9.274679,-0.024106,2.05005,-1.557123,315.3167,172.8427,137.7491
9.277374,-0.024106,2.05005,-1.557123,315.3167,172.8427,137.7491
9.280296,-0.024108,2.05005,-1.558082,315.399,172.5704,138.0635
9.284388,-0.024108,2.05005,-1.558082,315.399,172.5704,138.0635
9.287792,-0.024108,2.05005,-1.558082,315.399,172.5704,138.0635
9.290508,-0.024108,2.05005,-1.558082,315.399,172.5704,138.0635
9.293452,-0.024108,2.05005,-1.558082,315.399,172.5704,138.0635
9.296252,-0.024108,2.05005,-1.558082,315.399,172.5704,138.0635
9.299233,-0.024108,2.05005,-1.558082,315.399,172.5704,138.0635
9.303863,-0.024108,2.05005,-1.558082,315.3353,172.2884,138.165
9.309698,-0.024108,2.05005,-1.558082,315.3353,172.2884,138.165
9.313623,-0.024108,2.05005,-1.558082,315.3353,172.2884,138.165
9.316396,-0.024108,2.05005,-1.558082,315.3353,172.2884,138.165
9.31985,-0.024108,2.05005,-1.558082,315.3353,172.2884,138.165
9.322654,-0.024108,2.05005,-1.558082,315.4117,172.2012,138.3405
9.328381,-0.024108,2.05005,-1.558082,315.4117,172.2012,138.3405
9.331032,-0.024108,2.05005,-1.558082,315.4117,172.2012,138.3405
9.334648,-0.024108,2.05005,-1.558082,315.4117,172.2012,138.3405
9.337271,-0.024108,2.05005,-1.558082,315.4117,172.2012,138.3405
9.33985,-0.024108,2.05005,-1.558082,315.4117,172.2012,138.3405
9.34258,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.45
9.345837,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.45
9.349047,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.45
9.352246,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.45
9.354795,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.45
9.357295,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.45
9.359833,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.45
9.362391,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.3768
9.366882,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.3768
9.369137,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.3768
9.372055,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.3768
9.374777,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.3768
9.37709,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.3768
9.379766,-0.024108,2.05005,-1.558082,315.3418,172.1038,138.3768
9.383862,-0.024108,2.05005,-1.558082,315.3451,172.0114,138.4094
9.388635,-0.024108,2.05005,-1.558082,315.3451,172.0114,138.4094
9.391273,-0.024108,2.05005,-1.558082,315.3451,172.0114,138.4094
9.394198,-0.024108,2.05005,-1.558082,315.3451,172.0114,138.4094
9.397818,-0.024108,2.05005,-1.558082,315.3451,172.0114,138.4094
9.404006,-0.024101,2.05005,-1.555508,315.2951,172.0095,138.4084
9.40731,-0.024101,2.05005,-1.555508,315.2951,172.0095,138.4084
9.410412,-0.024101,2.05005,-1.555508,315.2951,172.0095,138.4084
9.413733,-0.024101,2.05005,-1.555508,315.2951,172.0095,138.4084
9.4169,-0.024101,2.05005,-1.555508,315.2951,172.0095,138.4084
9.420501,-0.024101,2.05005,-1.555508,315.2253,171.9119,138.4448
9.423862,-0.024101,2.05005,-1.555508,315.2253,171.9119,138.4448
9.427152,-0.024101,2.05005,-1.555508,315.2253,171.9119,138.4448
9.430258,-0.024101,2.05005,-1.555508,315.2253,171.9119,138.4448
9.433042,-0.024101,2.05005,-1.555508,315.2253,171.9119,138.4448
9.435708,-0.024101,2.05005,-1.555508,315.2253,171.9119,138.4448
9.438554,-0.024101,2.05005,-1.555508,315.2253,171.9119,138.4448
9.441241,-0.027544,2.05005,-1.555497,315.2253,171.9354,138.518
9.445508,-0.027544,2.05005,-1.555497,315.2253,171.9354,138.518
9.448265,-0.027544,2.05005,-1.555497,315.2253,171.9354,138.518
9.451396,-0.027544,2.05005,-1.555497,315.2253,171.9354,138.518
9.454072,-0.027544,2.05005,-1.555497,315.2253,171.9354,138.518
9.457036,-0.027544,2.05005,-1.555497,315.2253,171.9354,138.518
9.460665,-0.030987,2.05005,-1.555485,315.1555,171.8612,138.5544
9.463753,-0.030987,2.05005,-1.555485,315.1555,171.8612,138.5544
9.466667,-0.030987,2.05005,-1.555485,315.1555,171.8612,138.5544
9.469373,-0.030987,2.05005,-1.555485,315.1555,171.8612,138.5544
9.47185,-0.030987,2.05005,-1.555485,315.1555,171.8612,138.5544
9.475306,-0.030987,2.05005,-1.555485,315.1555,171.8612,138.5544
9.478183,-0.030987,2.05005,-1.555485,315.1555,171.8612,138.5544
9.480871,-0.03443,2.05005,-1.555472,315.0858,171.7869,138.7374
9.484501,-0.03443,2.05005,-1.555472,315.0858,171.7869,138.7374
9.487472,-0.03443,2.05005,-1.555472,315.0858,171.7869,138.7374
9.490631,-0.03443,2.05005,-1.555472,315.0858,171.7869,138.7374
9.493763,-0.03443,2.05005,-1.555472,315.0858,171.7869,138.7374
9.496374,-0.03443,2.05005,-1.555472,315.0858,171.7869,138.7374
9.499405,-0.03443,2.05005,-1.555472,315.0858,171.7869,138.7374
9.501631,-0.044731,2.05005,-1.550274,315.1354,171.7485,138.8336
9.50568,-0.044731,2.05005,-1.550274,315.1354,171.7485,138.8336
9.509055,-0.044731,2.05005,-1.550274,315.1354,171.7485,138.8336
9.511738,-0.044731,2.05005,-1.550274,315.1354,171.7485,138.8336
9.514272,-0.044731,2.05005,-1.550274,315.1354,171.7485,138.8336
9.517407,-0.044731,2.05005,-1.550274,315.1354,171.7485,138.8336
9.520229,-0.058476,2.05005,-1.547614,315.0889,171.7718,138.7919
