time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
9.20447,0,1.244464,2.80571,335.7113,179.5449,307.254
9.213733,0,1.244464,2.80571,335.7113,179.5449,307.254
9.220692,0,1.244465,2.80571,335.7115,179.6012,307.2099
9.225368,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.228323,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.231693,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.235085,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.237717,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.241221,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.244301,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.246847,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.249757,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.252793,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.256169,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.258883,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.261814,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.26499,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.26804,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.271624,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.274679,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.277374,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.280296,0,1.244464,2.80571,335.7115,179.6012,307.2831
9.284388,0,1.244464,2.80571,335.7115,179.6012,307.2831
9.287792,0,1.244464,2.80571,335.7115,179.6012,307.2831
9.290508,0,1.244464,2.80571,335.7115,179.6012,307.2831
9.293452,0,1.244464,2.80571,335.7115,179.6012,307.2831
9.296252,0,1.244464,2.80571,335.7115,179.6012,307.2831
9.299233,0,1.244464,2.80571,335.7115,179.6012,307.2831
9.303863,0,1.244464,2.80571,335.7113,179.5449,307.254
9.309698,0,1.244464,2.80571,335.7113,179.5449,307.254
9.313623,0,1.244464,2.80571,335.7113,179.5449,307.254
9.316396,0,1.244464,2.80571,335.7113,179.5449,307.254
9.31985,0,1.244464,2.80571,335.7113,179.5449,307.254
9.322654,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.328381,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.331032,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.334648,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.337271,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.33985,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.34258,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.345837,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.349047,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.352246,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.354795,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.357295,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.359833,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.362391,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.366882,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.369137,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.372055,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.374777,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.37709,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.379766,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.383862,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.388635,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.391273,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.394198,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.397818,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.404006,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.40731,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.410412,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.413733,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.4169,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.420501,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.423862,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.427152,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.430258,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.433042,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.435708,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.438554,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.441241,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.445508,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.448265,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.451396,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.454072,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.457036,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.460665,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.463753,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.466667,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.469373,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.47185,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.475306,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.478183,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.480871,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.484501,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.487472,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.490631,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.493763,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.496374,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.499405,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.501631,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.50568,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.509055,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.511738,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.514272,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.517407,0,1.244464,2.80571,335.7113,179.5449,307.1808
9.520229,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.523884,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.526673,0,1.244464,2.80571,335.7115,179.6012,307.2099
9.529413,0,1.244464,2.80571,335.7115,179.6012,307.2099
