time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
29.56521,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.56944,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.57326,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.57654,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.58042,0,1.244464,2.80571,318.0507,178.6637,282.6845
29.58469,0,1.244464,2.80571,318.0507,178.6637,282.6845
29.58785,0,1.244464,2.80571,318.0507,178.6637,282.6845
29.59061,0,1.244464,2.80571,318.0507,178.6637,282.6845
29.59595,0,1.244464,2.80571,318.0507,178.6637,282.6845
29.59929,0,1.244464,2.80571,318.0507,178.6637,282.6845
29.60321,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.6083,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.61191,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.61468,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.61819,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.62698,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.62949,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.63289,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.6362,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.63912,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.64338,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.64966,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.65255,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.65534,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.6583,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.66122,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.66473,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.66813,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.67071,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.67362,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.67671,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.67935,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.68244,0,1.244464,2.80571,318.0501,178.6193,282.6489
29.68814,0,1.244464,2.80571,318.0501,178.6193,282.6489
29.69124,0,1.244464,2.80571,318.0501,178.6193,282.6489
29.694,0,1.244464,2.80571,318.0501,178.6193,282.6489
29.69692,0,1.244464,2.80571,318.0501,178.6193,282.6489
29.70001,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.70337,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.70689,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.70973,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.7128,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.71606,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.71891,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.72269,0,1.244464,2.80571,318.0501,178.6193,282.6489
29.72716,0,1.244464,2.80571,318.0501,178.6193,282.6489
29.72981,0,1.244464,2.80571,318.0501,178.6193,282.6489
29.73313,0,1.244464,2.80571,318.0501,178.6193,282.6489
29.73631,0,1.244464,2.80571,318.0501,178.6193,282.6489
29.73922,0,1.244464,2.80571,318.0501,178.6193,282.6489
29.74227,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.74701,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.75073,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.75415,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.75719,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.76036,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.76385,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.76748,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.77078,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.77394,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.77676,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.77958,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.78259,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.78837,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.79192,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.79484,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.79859,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.8018,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.80716,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.81003,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.81324,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.81655,0,1.244464,2.80571,317.9775,178.6655,282.6833
29.8194,0,1.244464,2.80571,317.9775,178.6655,282.6833
