time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
29.56521,-0.126723,2.05005,-1.511023,334.9242,193.2569,309.3091
29.56944,-0.126723,2.05005,-1.511023,334.9242,193.2569,309.3091
29.57326,-0.126723,2.05005,-1.511023,334.9242,193.2569,309.3091
29.57654,-0.126723,2.05005,-1.511023,334.9242,193.2569,309.3091
29.58042,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.58469,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.58785,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.59061,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.59595,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.59929,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.60321,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.6083,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.61191,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.61468,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.61819,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.62698,-0.126739,2.05005,-1.51207,334.9191,193.1767,309.3348
29.62949,-0.126739,2.05005,-1.51207,334.9191,193.1767,309.3348
29.63289,-0.126739,2.05005,-1.51207,334.9191,193.1767,309.3348
29.6362,-0.126739,2.05005,-1.51207,334.9191,193.1767,309.3348
29.63912,-0.126739,2.05005,-1.51207,334.9191,193.1767,309.3348
29.64338,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.64966,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.65255,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.65534,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.6583,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.66122,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.66473,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.66813,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.67071,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.67362,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.67671,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.67935,-0.126739,2.05005,-1.51207,334.9242,193.2569,309.3091
29.68244,-0.123329,2.05005,-1.513167,334.9191,193.1532,309.3348
29.68814,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.3348
29.69124,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.3348
29.694,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.3348
29.69692,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.3348
29.70001,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.3348
29.70337,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.3348
29.70689,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.3348
29.70973,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.3348
29.7128,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.3348
29.71606,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.3348
29.71891,-0.123329,2.05005,-1.513167,334.9191,193.1532,309.3348
29.72269,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.4081
29.72716,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.4081
29.72981,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.4081
29.73313,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.4081
29.73631,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.4081
29.73922,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.4081
29.74227,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.4081
29.74701,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.4081
29.75073,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.4081
29.75415,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.4081
29.75719,-0.123329,2.05005,-1.513168,334.9191,193.1532,309.4081
29.76036,-0.123345,2.05005,-1.514213,334.9871,193.0674,309.5095
29.76385,-0.123345,2.05005,-1.514213,334.9871,193.0674,309.5095
29.76748,-0.123345,2.05005,-1.514213,334.9871,193.0674,309.5095
29.77078,-0.123345,2.05005,-1.514213,334.9871,193.0674,309.5095
29.77394,-0.123345,2.05005,-1.514213,334.9871,193.0674,309.5095
29.77676,-0.123345,2.05005,-1.514213,334.9871,193.0674,309.5095
29.77958,-0.123345,2.05005,-1.514213,334.9871,193.0674,309.5095
29.78259,-0.123345,2.05005,-1.514213,334.9191,193.1532,309.4813
