timestamp,log_type,message,stacktrace
0,Log,x difference: -0.003306723,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0,Log,y difference: 0.008195162,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.02,Log,x difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.02,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.3533334,Log,x difference: 0.06666676,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.3533334,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.388657,Log,x difference: 0.04328521,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.388657,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4067349,Log,x difference: 0.03367423,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4067349,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4110232,Log,x difference: 0.03367424,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4110232,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4150477,Log,x difference: 0.03367424,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4150477,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4184971,Log,x difference: 0.03367424,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4184971,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4230514,Log,x difference: 0.01525672,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4230514,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4281123,Log,x difference: 0.01525688,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4281123,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4318663,Log,x difference: 0.01525688,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4318663,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4354326,Log,x difference: 0.01525688,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4354326,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4386447,Log,x difference: 0.01525688,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4386447,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4429339,Log,x difference: 0.01466925,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4429339,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4480776,Log,x difference: 0.01466942,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4480776,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4521164,Log,x difference: 0.01466942,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4521164,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4556409,Log,x difference: 0.01466942,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4556409,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4596052,Log,x difference: 0.01466942,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4596052,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4640266,Log,x difference: 0.02013327,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4640266,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
