time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
69.38701,-0.12667,2.05005,-1.507563,332.1674,204.9497,66.39275
69.39394,-0.12667,2.05005,-1.507563,332.1674,204.9497,66.39275
69.40106,-0.12667,2.05005,-1.507563,332.1578,204.869,66.41707
69.40789,-0.12667,2.05005,-1.507563,332.1578,204.869,66.41707
69.41257,-0.12667,2.05005,-1.507563,332.1578,204.869,66.41707
69.41724,-0.12667,2.05005,-1.507563,332.1578,204.869,66.41707
69.4233,-0.126631,2.05005,-1.50499,332.1791,204.864,66.4278
69.428,-0.126631,2.05005,-1.50499,332.1791,204.864,66.4278
69.43317,-0.126631,2.05005,-1.50499,332.1791,204.864,66.4278
69.43869,-0.126631,2.05005,-1.50499,332.1791,204.864,66.4278
69.44398,-0.126631,2.05005,-1.50499,332.1791,204.864,66.4278
69.44968,-0.126631,2.05005,-1.50499,332.1791,204.864,66.4278
69.45501,-0.126631,2.05005,-1.50499,332.1791,204.864,66.4278
69.45939,-0.126631,2.05005,-1.50499,332.1791,204.864,66.4278
69.46457,-0.126592,2.05005,-1.502417,332.2731,204.848,66.5169
69.47075,-0.126592,2.05005,-1.502417,332.2731,204.848,66.5169
69.47598,-0.126592,2.05005,-1.502417,332.2731,204.848,66.5169
69.48135,-0.126592,2.05005,-1.502417,332.2005,204.859,66.43854
69.48886,-0.126592,2.05005,-1.502417,332.2005,204.859,66.43854
69.49582,-0.126592,2.05005,-1.502417,332.2005,204.859,66.43854
69.50198,-0.126592,2.05005,-1.502417,332.21,204.9396,66.41429
69.5062,-0.126592,2.05005,-1.502417,332.21,204.9396,66.41429
69.51031,-0.126592,2.05005,-1.502417,332.21,204.9396,66.41429
69.51624,-0.126592,2.05005,-1.502417,332.21,204.9396,66.41429
69.52567,-0.126553,2.05005,-1.499844,332.2218,204.8539,66.44927
69.52911,-0.126553,2.05005,-1.499844,332.2218,204.8539,66.44927
69.53488,-0.126553,2.05005,-1.499844,332.2218,204.8539,66.44927
69.53976,-0.126553,2.05005,-1.499844,332.2218,204.8539,66.44927
69.54368,-0.126553,2.05005,-1.499844,332.2218,204.854,66.52251
69.55081,-0.126553,2.05005,-1.499844,332.2218,204.854,66.52251
69.55568,-0.126553,2.05005,-1.499844,332.2218,204.854,66.52251
69.56161,-0.126553,2.05005,-1.499844,332.2849,204.7624,66.55181
69.56815,-0.126553,2.05005,-1.499844,332.2849,204.7624,66.55181
69.57264,-0.126553,2.05005,-1.499844,332.2849,204.7624,66.55181
69.57821,-0.126553,2.05005,-1.499844,332.2849,204.7624,66.55181
69.58452,-0.126553,2.05005,-1.499844,332.2218,204.8539,66.44927
69.5902,-0.126553,2.05005,-1.499844,332.2218,204.8539,66.44927
69.59522,-0.126553,2.05005,-1.499844,332.2218,204.8539,66.44927
69.60002,-0.126514,2.05005,-1.49727,332.3157,204.838,66.53831
69.60712,-0.126514,2.05005,-1.49727,332.3157,204.838,66.53831
69.61191,-0.126514,2.05005,-1.49727,332.3157,204.838,66.53831
69.61639,-0.126514,2.05005,-1.49727,332.3157,204.838,66.53831
69.62092,-0.126475,2.05005,-1.494696,332.3276,204.7524,66.57318
69.62833,-0.126475,2.05005,-1.494696,332.3276,204.7524,66.57318
69.63342,-0.126475,2.05005,-1.494696,332.3276,204.7524,66.57318
69.63848,-0.126475,2.05005,-1.494696,332.3276,204.7524,66.57318
69.64341,-0.126475,2.05005,-1.494696,332.3371,204.833,66.54903
69.64914,-0.126475,2.05005,-1.494696,332.3371,204.833,66.54903
69.65395,-0.126475,2.05005,-1.494696,332.3371,204.833,66.54903
69.66506,-0.126475,2.05005,-1.494696,332.2645,204.844,66.4707
