time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
69.38701,1.38904,2.05005,-0.536445,347.097,216.8842,304.3884
69.39394,1.38904,2.05005,-0.536445,347.097,216.8842,304.3884
69.40106,1.38904,2.05005,-0.536446,347.097,216.8842,304.3884
69.40789,1.38904,2.05005,-0.536446,347.097,216.8842,304.3884
69.41257,1.38904,2.05005,-0.536445,347.097,216.8842,304.3884
69.41724,1.38904,2.05005,-0.536445,347.097,216.8842,304.3884
69.4233,1.38904,2.05005,-0.536445,347.097,216.8842,304.3884
69.428,1.38904,2.05005,-0.536445,347.097,216.8842,304.3884
69.43317,1.38904,2.05005,-0.536445,347.097,216.8842,304.3884
69.43869,1.38904,2.05005,-0.536445,347.097,216.8842,304.3884
69.44398,1.38904,2.05005,-0.536445,347.097,216.8842,304.3884
69.44968,1.38904,2.05005,-0.536446,347.097,216.8842,304.3884
69.45501,1.38904,2.05005,-0.536445,347.097,216.8842,304.3884
69.45939,1.38904,2.05005,-0.536445,347.097,216.8842,304.3884
69.46457,1.38904,2.05005,-0.536445,347.1694,216.8725,304.391
69.47075,1.38904,2.05005,-0.536445,347.1694,216.8725,304.391
69.47598,1.38904,2.05005,-0.536445,347.1694,216.8725,304.391
69.48135,1.38904,2.05005,-0.536445,347.1808,216.9464,304.3803
69.48886,1.38904,2.05005,-0.536445,347.1808,216.9464,304.3803
69.49582,1.38904,2.05005,-0.536445,347.1808,216.9464,304.3803
69.50198,1.38904,2.05005,-0.536445,347.1694,216.8725,304.391
69.5062,1.38904,2.05005,-0.536445,347.1694,216.8725,304.391
69.51031,1.38904,2.05005,-0.536445,347.1694,216.8725,304.391
69.51624,1.38904,2.05005,-0.536445,347.1694,216.8725,304.391
69.52567,1.388547,2.05005,-0.533835,347.1851,216.8685,304.4087
69.52911,1.388547,2.05005,-0.533835,347.1851,216.8685,304.4087
69.53488,1.388547,2.05005,-0.533835,347.1851,216.8685,304.4087
69.53976,1.388547,2.05005,-0.533835,347.1851,216.8685,304.4087
69.54368,1.388547,2.05005,-0.533835,347.1965,216.9425,304.398
69.55081,1.388547,2.05005,-0.533835,347.1965,216.9425,304.398
69.55568,1.388547,2.05005,-0.533835,347.1965,216.9425,304.398
69.56161,1.388547,2.05005,-0.533835,347.2688,216.9308,304.4738
69.56815,1.388547,2.05005,-0.533835,347.2688,216.9308,304.4738
69.57264,1.388547,2.05005,-0.533835,347.2688,216.9308,304.4738
69.57821,1.388547,2.05005,-0.533835,347.2688,216.9308,304.4738
69.58452,1.388054,2.05005,-0.531225,347.2122,216.9386,304.4157
69.5902,1.388054,2.05005,-0.531225,347.2122,216.9386,304.4157
69.59522,1.388054,2.05005,-0.531225,347.2122,216.9386,304.4157
69.60002,1.388054,2.05005,-0.531225,347.2122,216.9386,304.4157
69.60712,1.388054,2.05005,-0.531225,347.2122,216.9386,304.4157
69.61191,1.388054,2.05005,-0.531225,347.2122,216.9386,304.4157
69.61639,1.388054,2.05005,-0.531225,347.2122,216.9386,304.4157
69.62092,1.387561,2.05005,-0.528614,347.228,216.9347,304.4334
69.62833,1.387561,2.05005,-0.528614,347.228,216.9347,304.4334
