time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.300756,-0.148738,2.05005,-1.593673,315.6011,180.5425,278.214
8.310155,-0.148738,2.05005,-1.593673,315.6011,180.5425,278.214
8.315395,-0.148738,2.05005,-1.593673,315.6011,180.5425,278.214
8.318103,-0.148738,2.05005,-1.593673,315.6011,180.5425,278.214
8.320896,-0.148738,2.05005,-1.593673,315.6011,180.5425,278.2873
8.326487,-0.148738,2.05005,-1.593673,315.6011,180.5425,278.2873
8.33016,-0.148738,2.05005,-1.593673,315.6011,180.5425,278.2873
8.333139,-0.148738,2.05005,-1.593673,315.6011,180.5425,278.2873
8.335907,-0.148738,2.05005,-1.593673,315.6011,180.5425,278.2873
8.33922,-0.148738,2.05005,-1.593673,315.6011,180.5425,278.2873
8.343165,-0.148738,2.05005,-1.593673,315.6749,180.3578,278.3535
8.347065,-0.148738,2.05005,-1.593673,315.6749,180.3578,278.3535
8.350012,-0.148738,2.05005,-1.593673,315.6749,180.3578,278.3535
8.352829,-0.148738,2.05005,-1.593673,315.6749,180.3578,278.3535
8.356624,-0.148738,2.05005,-1.593673,315.6749,180.3578,278.3535
8.360126,-0.148784,2.05005,-1.596242,315.6512,180.45,278.3206
8.366885,-0.148784,2.05005,-1.596242,315.6512,180.45,278.3206
8.372079,-0.148784,2.05005,-1.596242,315.6512,180.45,278.3206
8.377621,-0.148784,2.05005,-1.596242,315.6512,180.45,278.3206
8.38054,-0.148784,2.05005,-1.596242,315.5783,180.3571,278.3542
8.386879,-0.148784,2.05005,-1.596242,315.5783,180.3571,278.3542
8.393535,-0.148784,2.05005,-1.596242,315.5783,180.3571,278.3542
8.395467,-0.148784,2.05005,-1.596242,315.5783,180.3571,278.3542
8.397884,-0.148784,2.05005,-1.596242,315.5783,180.3571,278.3542
8.400646,-0.148829,2.05005,-1.598811,315.6279,180.4498,278.3942
8.405395,-0.148829,2.05005,-1.598811,315.6279,180.4498,278.3942
8.407739,-0.148829,2.05005,-1.598811,315.6279,180.4498,278.3942
8.411259,-0.148829,2.05005,-1.598811,315.6279,180.4498,278.3942
8.414415,-0.148829,2.05005,-1.598811,315.6279,180.4498,278.3942
8.418117,-0.148829,2.05005,-1.598811,315.6279,180.4498,278.3942
8.421204,-0.145368,2.05005,-1.598871,315.6279,180.4262,278.3209
8.426733,-0.145368,2.05005,-1.598871,315.6279,180.4262,278.3209
8.429568,-0.145368,2.05005,-1.598871,315.6279,180.4262,278.3209
8.432404,-0.145368,2.05005,-1.598871,315.6279,180.4262,278.3209
8.435472,-0.145368,2.05005,-1.598871,315.6279,180.4262,278.3209
8.438084,-0.145368,2.05005,-1.598871,315.6279,180.4262,278.3209
8.4406,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3212
8.446334,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3212
8.449458,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3212
8.452391,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3212
8.454778,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3212
8.45768,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3212
8.461031,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.465792,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.468621,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.471393,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.473827,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.476994,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.480269,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.485372,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.487836,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.490392,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.493324,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.496805,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.499817,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.502383,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.506082,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.508924,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.512288,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.515127,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.517839,-0.141951,2.05005,-1.601499,315.6048,180.3099,278.4279
8.520445,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.526698,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.529837,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.532747,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.535174,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.537831,-0.141951,2.05005,-1.601499,315.6046,180.4025,278.3945
8.540655,-0.145413,2.05005,-1.60144,315.6046,180.426,278.3945
8.54636,-0.145413,2.05005,-1.60144,315.6046,180.426,278.3945
8.548717,-0.145413,2.05005,-1.60144,315.6046,180.426,278.3945
8.551366,-0.145413,2.05005,-1.60144,315.6046,180.426,278.3945
8.553989,-0.145413,2.05005,-1.60144,315.6046,180.426,278.3945
8.556561,-0.145413,2.05005,-1.60144,315.6046,180.426,278.3945
8.559962,-0.145413,2.05005,-1.60144,315.6046,180.426,278.3945
8.562512,-0.155798,2.05005,-1.601254,315.6046,180.4731,278.3212
8.566014,-0.155798,2.05005,-1.601254,315.6046,180.4731,278.3212
8.56869,-0.155798,2.05005,-1.601254,315.6046,180.4731,278.3212
8.571314,-0.155798,2.05005,-1.601254,315.6046,180.4731,278.3212
8.574381,-0.155798,2.05005,-1.601254,315.6046,180.4731,278.3212
8.577016,-0.155798,2.05005,-1.601254,315.6046,180.4731,278.3212
8.579923,-0.155798,2.05005,-1.601254,315.6046,180.4731,278.3212
8.582602,-0.162672,2.05005,-1.598554,315.6279,180.5441,278.3942
8.586953,-0.162672,2.05005,-1.598555,315.6279,180.5441,278.3942
8.590211,-0.162672,2.05005,-1.598555,315.6279,180.5441,278.3942
8.592907,-0.162672,2.05005,-1.598555,315.6279,180.5441,278.3942
8.595547,-0.162672,2.05005,-1.598555,315.6279,180.5441,278.3942
8.598359,-0.162672,2.05005,-1.598555,315.6279,180.5441,278.3942
8.601166,-0.173054,2.05005,-1.598348,315.6279,180.5912,278.3942
8.606262,-0.173054,2.05005,-1.598348,315.6279,180.5912,278.3942
8.60886,-0.173054,2.05005,-1.598348,315.6279,180.5912,278.3942
8.611497,-0.173054,2.05005,-1.598348,315.6279,180.5912,278.3942
8.614101,-0.173054,2.05005,-1.598348,315.6279,180.5912,278.3942
8.61673,-0.173054,2.05005,-1.598348,315.6279,180.5912,278.3942
8.62031,-0.17992,2.05005,-1.595633,315.6515,180.5695,278.4271
8.625563,-0.17992,2.05005,-1.595634,315.6515,180.5695,278.4271
8.628279,-0.17992,2.05005,-1.595634,315.6515,180.5695,278.4271
8.630829,-0.17992,2.05005,-1.595634,315.6515,180.5695,278.4271
8.633373,-0.17992,2.05005,-1.595634,315.6515,180.5695,278.4271
8.63662,-0.17992,2.05005,-1.595634,315.6515,180.5695,278.4271
8.639251,-0.17992,2.05005,-1.595634,315.6515,180.5695,278.4271
8.641994,-0.193639,2.05005,-1.590188,315.6985,180.5718,278.4595
8.646797,-0.193639,2.05005,-1.590188,315.6985,180.5718,278.4595
8.649179,-0.193639,2.05005,-1.590188,315.6985,180.5718,278.4595
8.653143,-0.193639,2.05005,-1.590188,315.6985,180.5718,278.4595
8.655643,-0.193639,2.05005,-1.590188,315.6985,180.5718,278.4595
8.658577,-0.193639,2.05005,-1.590188,315.6985,180.5718,278.4595
8.661518,-0.207341,2.05005,-1.584718,315.7225,180.4816,278.5253
8.66663,-0.207341,2.05005,-1.584718,315.7225,180.4816,278.5253
8.669538,-0.207341,2.05005,-1.584718,315.7225,180.4816,278.5253
