time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11.72908,0,1.10005,-1.448096,307.2631,193.1975,234.7234
11.74352,0.003233,1.10005,-1.445439,307.5051,193.1442,234.8236
11.75043,0.003233,1.10005,-1.445439,307.5051,193.1442,234.8236
11.75918,0.003233,1.10005,-1.445439,307.5051,193.1442,234.8236
11.76913,0.003231,1.10005,-1.440124,307.6237,193.1229,234.847
11.77915,0.003231,1.10005,-1.440124,307.6237,193.1229,234.847
11.78868,0.003227,1.10005,-1.431495,307.765,193.0949,234.8056
11.79842,0.003227,1.10005,-1.431495,307.765,193.0949,234.8056
11.80915,0.003223,1.10005,-1.42086,307.9291,193.0603,234.8459
11.81919,0.003223,1.10005,-1.42086,307.9291,193.0603,234.8459
11.82882,0.003219,1.10005,-1.410221,308.0898,192.9358,234.9094
11.83832,0.003219,1.10005,-1.410221,308.0898,192.9358,234.9094
11.84918,0.003219,1.10005,-1.410222,308.2394,193.0118,234.8239
11.85977,0.003219,1.10005,-1.410221,308.2394,193.0118,234.8239
11.871,0.003218,1.10005,-1.407561,308.3352,192.998,234.7647
11.88158,0.003218,1.10005,-1.407561,308.3352,192.998,234.7647
11.89031,0.003218,1.10005,-1.407561,308.3352,192.998,234.7647
11.90048,0.003219,1.10005,-1.410877,308.3823,192.9075,234.7852
11.91168,0.003219,1.10005,-1.410877,308.3823,192.9075,234.7852
11.9202,0.003222,1.10005,-1.417505,308.4065,192.8236,234.7241
11.9312,0.003222,1.10005,-1.417505,308.4065,192.8236,234.7241
11.94229,0.003228,1.10005,-1.433403,308.3625,192.7591,234.7115
11.95145,0.003228,1.10005,-1.433403,308.3625,192.7591,234.7115
11.96206,0.003235,1.10005,-1.449278,308.2486,192.7918,234.6698
11.97218,0.003235,1.10005,-1.449278,308.2486,192.7918,234.6698
11.98166,0,1.10005,-1.461193,308.1645,193.0231,234.5877
11.99253,0,1.10005,-1.461193,308.1645,193.0231,234.5877
12.00183,0,1.10005,-1.469802,308.0337,193.3231,234.483
12.01252,0,1.10005,-1.469802,308.0337,193.3231,234.483
12.02205,-0.006495,1.10005,-1.480421,307.8843,193.7697,234.3433
12.03278,-0.006495,1.10005,-1.480421,307.8843,193.7697,234.3433
12.0428,-0.009746,1.10005,-1.483072,307.8074,194.2637,234.2045
12.05321,-0.009746,1.10005,-1.483072,307.8074,194.2637,234.2045
12.06189,-0.019491,1.10005,-1.482412,307.6729,194.6242,234.1173
12.07299,-0.019491,1.10005,-1.482412,307.6729,194.6242,234.1173
12.08293,-0.019484,1.10005,-1.479758,307.5651,194.9981,233.8681
12.094,-0.019484,1.10005,-1.479758,307.5651,194.9981,233.8681
12.10454,-0.019414,1.10005,-1.451334,307.5609,195.2264,233.79
12.11478,-0.019414,1.10005,-1.451334,307.5609,195.2264,233.79
12.12342,-0.016099,1.10005,-1.412892,307.6706,195.3142,233.6187
12.13521,-0.016099,1.10005,-1.412892,307.6706,195.3142,233.6187
12.14477,-0.012804,1.10005,-1.366965,307.9394,195.2709,233.5187
12.15412,-0.012804,1.10005,-1.366965,307.9394,195.2709,233.5187
12.16506,-0.009501,1.100049,-1.284068,308.5291,195.1356,233.5327
12.17575,-0.009501,1.100049,-1.284068,308.5291,195.1356,233.5327
12.1856,-0.006252,1.100049,-1.184528,309.3746,194.8667,233.7676
12.19576,-0.006252,1.100049,-1.184528,309.3746,194.8667,233.7676
12.20519,0.003073,1.100048,-1.056325,310.495,194.5652,234.0827
12.21691,0.003073,1.100048,-1.056325,310.495,194.5652,234.0827
12.22666,0.021106,1.100047,-0.915024,311.8756,194.1903,234.3615
12.23744,0.021106,1.100047,-0.915024,311.8756,194.1903,234.3615
12.24687,0.05006,1.100045,-0.743708,313.6926,193.5965,234.3899
12.25728,0.05006,1.100045,-0.743708,313.6926,193.5965,234.3899
12.26711,0.086035,1.100045,-0.556496,315.5127,193.094,234.0862
12.27776,0.086035,1.100045,-0.556496,315.5127,193.094,234.0862
12.28883,0.123093,1.100046,-0.385209,317.3312,192.7668,233.4723
12.29828,0.123093,1.100046,-0.385209,317.3312,192.7668,233.4723
12.30932,0.163361,1.100046,-0.202478,319.1549,192.7459,232.0162
12.32946,0.196982,1.100047,-0.054061,320.6283,193.0027,229.9727
12.33871,0.196982,1.100047,-0.054061,320.6283,193.0027,229.9727
12.34354,0.222265,1.100048,0.060936,322.0096,193.625,227.7562
12.35152,0.222265,1.100048,0.060936,322.0096,193.625,227.7562
12.36071,0.230831,1.100048,0.112894,322.6547,193.9965,226.5968
12.37216,0.230831,1.100048,0.112894,322.6547,193.9965,226.5968
12.38192,0.240749,1.100049,0.192098,323.7578,195.0324,224.7515
12.39383,0.240749,1.100049,0.192098,323.7578,195.0324,224.7515
12.40347,0.237915,1.10005,0.265364,325.0957,196.5472,223.4431
12.41369,0.237915,1.10005,0.265364,325.0957,196.5472,223.4431
12.42406,0.226892,1.10005,0.289398,325.7205,197.5775,222.8353
12.43389,0.226892,1.10005,0.289398,325.7205,197.5775,222.8353
12.44395,0.213723,1.10005,0.305222,326.2067,198.478,222.4875
12.45415,0.213723,1.10005,0.305222,326.2067,198.478,222.4875
12.46524,0.201131,1.10005,0.305557,326.4164,199.2417,222.3699
12.47643,0.201131,1.10005,0.305557,326.4164,199.2417,222.3699
12.48663,0.185968,1.10005,0.307793,326.651,199.81,222.3984
12.49707,0.185968,1.10005,0.307793,326.651,199.81,222.3984
12.50616,0.172956,1.10005,0.32328,326.8062,200.1918,222.3798
12.51766,0.172956,1.10005,0.32328,326.8062,200.1918,222.3798
