timestamp,log_type,message,stacktrace
0,Log,Haptic Plugin Version : PluginVersion=1.1 PluginBuild=Jun 13 2019 OpenHapticsVersion=3.50.0,UnityEngine.Debug:Log (object).  HapticPlugin:OnEnable () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:195).  
0,Log,Look rotation viewing vector is zero,UnityEngine.Quaternion:LookRotation (UnityEngine.Vector3UnityEngine.Vector3).  HapticPlugin:QuaternionFromMatrix (UnityEngine.Matrix4x4) (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:384).  HapticPlugin:updateDevice () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:502).  HapticPlugin:safeUpdateManipulator () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:634).  HapticPlugin:OnEnable () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:207).  
9.849989,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:333).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
15.44,Log,Collider enter = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:43).  
16.36,Log,Collider exit = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerExit (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:54).  
17.6,Log,Collider enter = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:43).  
17.92,Log,Collider exit = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerExit (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:54).  
17.96,Log,Collider enter = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:43).  
18.82,Log,Collider exit = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerExit (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:54).  
32.91187,Log,OnApplicationQuit: Disconnecting from Haptic,UnityEngine.Debug:Log (object).  HapticPlugin:OnApplicationQuit () (at Assets/OpenHaptics/HapticScripts/HapticPlugin.cs:248).  
