time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
15.95097,1.91857,1.25,-1.401757,0,0,0
15.96696,1.91857,1.25,-1.401757,0,0,0
15.97513,1.91857,1.25,-1.401757,0,0,0
15.98241,1.91857,1.25,-1.401757,0,0,0
15.99154,1.91857,1.25,-1.401757,0,0,0
16.00221,1.91857,1.25,-1.401757,0,0,0
16.01131,1.91857,1.25,-1.401757,0,0,0
16.0213,1.91857,1.25,-1.401757,0,0,0
16.03094,1.91857,1.25,-1.401757,0,0,0
16.04082,1.91857,1.25,-1.401757,0,0,0
16.05194,1.91857,1.25,-1.401757,0,0,0
16.06158,1.91857,1.25,-1.401757,0,0,0
16.07093,1.91857,1.25,-1.401757,0,0,0
16.08256,1.91857,1.25,-1.401757,0,0,0
16.09344,1.91857,1.25,-1.401757,0,0,0
16.10259,1.91857,1.25,-1.401757,0,0,0
16.11293,1.91857,1.25,-1.401757,0,0,0
16.12361,1.91857,1.25,-1.401757,0,0,0
16.13289,1.91857,1.25,-1.401757,0,0,0
16.14309,1.91857,1.25,-1.401757,0,0,0
16.15355,1.91857,1.25,-1.401757,0,0,0
16.16285,1.91857,1.25,-1.401757,0,0,0
16.1739,1.91857,1.25,-1.401757,0,0,0
16.18329,1.91857,1.25,-1.401757,0,0,0
16.194,1.91857,1.25,-1.401757,0,0,0
16.20385,1.91857,1.25,-1.401757,0,0,0
16.21447,1.91857,1.25,-1.401757,0,0,0
16.22344,1.91857,1.25,-1.401757,0,0,0
16.23409,1.91857,1.25,-1.401757,0,0,0
16.24331,1.91857,1.25,-1.401757,0,0,0
16.2541,1.91857,1.25,-1.401757,0,0,0
16.2645,1.91857,1.25,-1.401757,0,0,0
16.27468,1.91857,1.25,-1.401757,0,0,0
16.2848,1.91857,1.25,-1.401757,0,0,0
16.2952,1.91857,1.25,-1.401757,0,0,0
16.30546,1.91857,1.25,-1.401757,0,0,0
16.31505,1.91857,1.25,-1.401757,0,0,0
16.32568,1.91857,1.25,-1.401757,0,0,0
16.33512,1.91857,1.25,-1.401757,0,0,0
16.345,1.91857,1.25,-1.401757,0,0,0
16.35468,1.91857,1.25,-1.401757,0,0,0
16.36474,1.91857,1.25,-1.401757,0,0,0
16.37561,1.91857,1.25,-1.401757,0,0,0
16.3849,1.91857,1.25,-1.401757,0,0,0
16.39574,1.91857,1.25,-1.401757,0,0,0
16.4064,1.91857,1.25,-1.401757,0,0,0
16.41602,1.91857,1.25,-1.401757,0,0,0
16.42556,1.91857,1.25,-1.401757,0,0,0
16.43613,1.91857,1.25,-1.401757,0,0,0
16.44568,1.91857,1.25,-1.401757,0,0,0
16.45501,1.91857,1.25,-1.401757,0,0,0
16.46575,1.91857,1.25,-1.401757,0,0,0
16.47635,1.91857,1.25,-1.401757,0,0,0
16.48613,1.91857,1.25,-1.401757,0,0,0
16.49686,1.91857,1.25,-1.401757,0,0,0
16.50591,1.91857,1.25,-1.401757,0,0,0
16.51784,1.91857,1.25,-1.401757,0,0,0
16.5268,1.91857,1.25,-1.401757,0,0,0
16.53848,1.91857,1.25,-1.401757,0,0,0
16.54745,1.91857,1.25,-1.401757,0,0,0
16.5568,1.91857,1.25,-1.401757,0,0,0
16.57847,1.91857,1.25,-1.401757,0,0,0
16.58931,1.91857,1.25,-1.401757,0,0,0
16.59627,1.91857,1.25,-1.401757,0,0,0
16.61249,1.91857,1.25,-1.401757,0,0,0
16.62265,1.91857,1.25,-1.401757,0,0,0
16.62959,1.91857,1.25,-1.401757,0,0,0
16.63535,1.91857,1.25,-1.401757,0,0,0
16.64689,1.91857,1.25,-1.401757,0,0,0
16.65815,1.91857,1.25,-1.401757,0,0,0
16.66752,1.91857,1.25,-1.401757,0,0,0
16.67793,1.91857,1.25,-1.401757,0,0,0
16.68892,1.91857,1.25,-1.401757,0,0,0
16.69743,1.91857,1.25,-1.401757,0,0,0
16.70751,1.91857,1.25,-1.401757,0,0,0
16.71742,1.91857,1.25,-1.401757,0,0,0
16.72781,1.91857,1.25,-1.401757,0,0,0
16.73849,1.91857,1.25,-1.401757,0,0,0
16.74661,1.91857,1.25,-1.401757,0,0,0
16.75626,1.91857,1.25,-1.401757,0,0,0
16.76615,1.91857,1.25,-1.401757,0,0,0
16.77618,1.91857,1.25,-1.401757,0,0,0
16.78576,1.91857,1.25,-1.401757,0,0,0
16.79589,1.91857,1.25,-1.401757,0,0,0
