time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
18.47149,-0.03591,1.10005,-1.521621,317.5046,204.9022,304.4654
18.48105,-0.042454,1.10005,-1.524238,317.4037,204.8839,304.5383
18.49146,-0.042454,1.10005,-1.524238,317.4037,204.8839,304.5383
18.50186,-0.045719,1.10005,-1.52422,317.3174,204.7481,304.791
18.51193,-0.045719,1.10005,-1.52422,317.3174,204.7481,304.791
18.52176,-0.045742,1.10005,-1.528213,317.2761,204.5016,305.1316
18.53168,-0.045742,1.10005,-1.528213,317.2761,204.5016,305.1316
18.54243,-0.045765,1.10005,-1.532202,317.1553,204.1801,305.559
18.55193,-0.045765,1.10005,-1.532202,317.1553,204.1801,305.559
18.56229,-0.045788,1.10005,-1.536186,317.1142,203.933,305.9004
18.57345,-0.045788,1.10005,-1.536186,317.1142,203.933,305.9004
18.58379,-0.045792,1.10005,-1.536853,317.0283,203.7727,306.2273
18.59322,-0.045792,1.10005,-1.536853,317.0283,203.7727,306.2273
18.60339,-0.045792,1.10005,-1.536853,316.9489,203.6976,306.4605
18.61322,-0.045792,1.10005,-1.536853,316.9489,203.6976,306.4605
18.62282,-0.045792,1.10005,-1.536853,316.936,203.5268,306.7214
18.63376,-0.045792,1.10005,-1.536853,316.936,203.5268,306.7214
18.64326,-0.045792,1.10005,-1.536853,316.7838,203.4619,306.8744
18.65417,-0.045792,1.10005,-1.536853,316.7838,203.4619,306.8744
18.66482,-0.045777,1.10005,-1.534204,316.7261,203.378,307.1203
18.67598,-0.045777,1.10005,-1.534204,316.7261,203.378,307.1203
18.68678,-0.045777,1.10005,-1.534204,316.5803,203.3986,307.3991
18.69732,-0.045777,1.10005,-1.534204,316.5803,203.3986,307.3991
18.70722,-0.045762,1.10005,-1.531556,316.5226,203.3146,307.7915
18.71744,-0.045762,1.10005,-1.531556,316.5226,203.3146,307.7915
18.72749,-0.045762,1.10005,-1.531556,316.3705,203.2495,308.384
18.73896,-0.045762,1.10005,-1.531556,316.3705,203.2495,308.384
18.74838,-0.052246,1.10005,-1.523569,316.3495,203.1096,309.0419
18.75903,-0.052246,1.10005,-1.523569,316.3495,203.1096,309.0419
18.76833,-0.058679,1.10005,-1.510273,316.293,202.877,309.9575
18.7784,-0.058679,1.10005,-1.510273,316.293,202.877,309.9575
18.78806,-0.074778,1.10005,-1.488923,316.2958,202.5809,311.1489
18.7995,-0.074778,1.10005,-1.488923,316.2958,202.5809,311.1489
18.80793,-0.106577,1.100049,-1.436109,316.3943,201.9365,313.1966
18.81833,-0.106577,1.100049,-1.436109,316.3943,201.9365,313.1966
18.82847,-0.143961,1.100049,-1.361629,316.7074,201.1001,315.7476
18.83797,-0.143961,1.100049,-1.361629,316.7074,201.1001,315.7476
18.84814,-0.192406,1.100049,-1.251603,317.2721,199.7179,319.2978
18.85978,-0.192406,1.100049,-1.251603,317.2721,199.7179,319.2978
18.86927,-0.23572,1.100048,-1.122825,318.1883,197.8973,322.9556
18.87878,-0.23572,1.100048,-1.122825,318.1883,197.8973,322.9556
18.88796,-0.273716,1.100048,-0.97528,319.2801,195.5049,327.0842
18.89899,-0.273716,1.100048,-0.97528,319.2801,195.5049,327.0842
18.90895,-0.295499,1.100048,-0.837353,320.5767,192.9982,331.1736
18.91838,-0.295499,1.100048,-0.837353,320.5767,192.9982,331.1736
18.92882,-0.290227,1.100048,-0.707929,321.8809,190.3223,335.2031
18.93996,-0.290227,1.100048,-0.707929,321.8809,190.3223,335.2031
18.94942,-0.265476,1.100049,-0.596707,322.8586,188.0309,338.8034
18.96061,-0.252274,1.100049,-0.551147,323.418,187.1818,340.4638
18.9701,-0.252274,1.100049,-0.551147,323.418,187.1818,340.4638
18.97948,-0.252274,1.100049,-0.551147,323.418,187.1818,340.4638
18.98879,-0.201993,1.100049,-0.403136,324.9332,185.1193,345.7743
18.99923,-0.201993,1.100049,-0.403136,324.9332,185.1193,345.7743
19.00954,-0.172096,1.100049,-0.331406,325.7311,184.4026,348.9242
19.01932,-0.172096,1.100049,-0.331406,325.7311,184.4026,348.9242
19.03797,-0.137301,1.10005,-0.259622,326.63,183.948,352.8507
19.0487,-0.128801,1.10005,-0.246213,326.94,184.0216,353.9529
19.05571,-0.128801,1.10005,-0.246213,326.94,184.0216,353.9529
19.06037,-0.12312,1.10005,-0.235458,327.0337,184.1958,354.9751
19.07014,-0.12312,1.10005,-0.235458,327.0337,184.1958,354.9751
19.08036,-0.114432,1.10005,-0.207731,327.537,184.4155,356.7366
19.09015,-0.114432,1.10005,-0.207731,327.537,184.4155,356.7366
19.10023,-0.111524,1.10005,-0.196916,327.8739,184.7596,358.2711
19.11091,-0.111524,1.10005,-0.196916,327.8739,184.7596,358.2711
19.12061,-0.108358,1.10005,-0.169805,328.1574,185.0988,359.5222
19.13078,-0.108358,1.10005,-0.169805,328.1574,185.0988,359.5222
19.14093,-0.102598,1.10005,-0.147981,328.4675,185.4151,0.625734
19.15045,-0.102598,1.10005,-0.147981,328.4675,185.4151,0.625734
19.15997,-0.102598,1.10005,-0.147981,328.4675,185.4151,0.625734
19.17061,-0.085474,1.100049,-0.077908,329.1231,185.7619,1.698051
19.18045,-0.079913,1.10005,-0.060206,329.336,185.8547,2.003777
19.19937,-0.079913,1.10005,-0.060206,329.336,185.8547,2.003777
19.20376,-0.065881,1.100049,0.009037,329.9673,185.8775,2.501498
19.21214,-0.065881,1.100049,0.009037,329.9673,185.8775,2.501498
19.222,-0.052118,1.100049,0.08029,330.5216,185.9214,2.863898
19.23236,-0.052118,1.100049,0.08029,330.5216,185.9214,2.863898
19.2421,-0.033412,1.100049,0.167092,331.1449,186.0319,3.167643
19.25244,-0.033412,1.100049,0.167092,331.1449,186.0319,3.167643
19.26189,-0.0254,1.100049,0.240377,331.5752,186.0686,3.394189
19.27154,-0.0254,1.100049,0.240377,331.5752,186.0686,3.394189
19.28221,-0.025144,1.100049,0.302814,332.0358,186.087,3.23985
19.29303,-0.025144,1.100049,0.302814,332.0358,186.087,3.23985
