time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
7.842489,-0.103439,2.05005,-1.567231,320.3341,184.9728,266.0869
7.851647,-0.103439,2.05005,-1.567231,320.3341,184.9728,266.0869
7.861079,-0.103439,2.05005,-1.567231,320.2609,184.9753,266.2318
7.865152,-0.103439,2.05005,-1.567231,320.2609,184.9753,266.2318
7.868348,-0.103439,2.05005,-1.567231,320.2609,184.9753,266.2318
7.871805,-0.103439,2.05005,-1.567231,320.2609,184.9753,266.2318
7.875365,-0.103439,2.05005,-1.567231,320.2609,184.9753,266.2318
7.87928,-0.103439,2.05005,-1.567231,320.2609,184.9753,266.2318
7.882544,-0.103407,2.05005,-1.564662,320.2824,184.8848,266.3382
7.887936,-0.103407,2.05005,-1.564662,320.2824,184.8848,266.3382
7.891469,-0.103407,2.05005,-1.564662,320.2824,184.8848,266.3382
7.894905,-0.103407,2.05005,-1.564662,320.2824,184.8848,266.3382
7.897867,-0.103407,2.05005,-1.564662,320.2824,184.8848,266.3382
7.900662,-0.103407,2.05005,-1.564662,320.2807,184.7958,266.3691
7.904223,-0.103407,2.05005,-1.564662,320.2807,184.7958,266.3691
7.907764,-0.103407,2.05005,-1.564662,320.2807,184.7958,266.3691
7.911517,-0.103407,2.05005,-1.564662,320.2807,184.7958,266.3691
7.914692,-0.103407,2.05005,-1.564662,320.2807,184.7958,266.3691
7.917798,-0.103407,2.05005,-1.564662,320.2807,184.7958,266.3691
7.92074,-0.103407,2.05005,-1.564662,320.2057,184.7092,266.4717
7.924753,-0.103407,2.05005,-1.564662,320.2057,184.7092,266.4717
7.928357,-0.103407,2.05005,-1.564662,320.2057,184.7092,266.4717
7.931427,-0.103407,2.05005,-1.564662,320.2057,184.7092,266.4717
7.934447,-0.103407,2.05005,-1.564662,320.2057,184.7092,266.4717
7.938573,-0.103407,2.05005,-1.564662,320.2057,184.7092,266.4717
7.943487,-0.103407,2.05005,-1.564662,320.2758,184.5288,266.6083
7.949307,-0.103407,2.05005,-1.564662,320.2758,184.5288,266.6083
7.952167,-0.103407,2.05005,-1.564662,320.2758,184.5288,266.6083
7.955866,-0.103407,2.05005,-1.564662,320.2758,184.5288,266.6083
7.959033,-0.103407,2.05005,-1.564662,320.2758,184.5288,266.6083
7.962286,-0.103407,2.05005,-1.564662,320.2025,184.531,266.6069
7.967874,-0.103407,2.05005,-1.564662,320.2025,184.531,266.6069
7.97193,-0.103407,2.05005,-1.564662,320.2025,184.531,266.6069
7.976168,-0.103407,2.05005,-1.564662,320.2025,184.531,266.6069
7.979496,-0.103407,2.05005,-1.564662,320.2025,184.531,266.6069
7.982455,-0.103407,2.05005,-1.564662,320.2009,184.4419,266.6378
7.987745,-0.103407,2.05005,-1.564662,320.2009,184.4419,266.6378
7.990275,-0.103407,2.05005,-1.564662,320.2009,184.4419,266.6378
7.993519,-0.103407,2.05005,-1.564662,320.2009,184.4419,266.6378
8.001747,-0.10342,2.05005,-1.565648,320.2742,184.4398,266.7124
8.007602,-0.10342,2.05005,-1.565648,320.2742,184.4398,266.7124
8.010886,-0.10342,2.05005,-1.565648,320.2742,184.4398,266.7124
