time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
7.842489,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.851647,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.861079,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.865152,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.868348,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.871805,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.875365,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.87928,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.882544,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.887936,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.891469,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.894905,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.897867,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.900662,0,1.244464,2.80571,335.6389,179.939,39.60023
7.904223,0,1.244464,2.80571,335.6389,179.939,39.60023
7.907764,0,1.244464,2.80571,335.6389,179.939,39.60023
7.911517,0,1.244464,2.80571,335.6389,179.939,39.60023
7.914692,0,1.244464,2.80571,335.6389,179.939,39.60023
7.917798,0,1.244464,2.80571,335.6389,179.939,39.60023
7.92074,0,1.244464,2.80571,335.6389,179.939,39.60023
7.924753,0,1.244464,2.80571,335.6389,179.939,39.60023
7.928357,0,1.244464,2.80571,335.6389,179.939,39.60023
7.931427,0,1.244464,2.80571,335.6389,179.939,39.60023
7.934447,0,1.244464,2.80571,335.6389,179.939,39.60023
7.938573,0,1.244464,2.80571,335.6389,179.939,39.60023
7.943487,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.949307,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.952167,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.955866,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.959033,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.962286,0,1.244465,2.80571,335.5656,179.939,39.60022
7.967874,0,1.244465,2.80571,335.5656,179.939,39.60022
7.97193,0,1.244465,2.80571,335.5656,179.939,39.60022
7.976168,0,1.244465,2.80571,335.5656,179.939,39.60022
7.979496,0,1.244465,2.80571,335.5656,179.939,39.60022
7.982455,0,1.244464,2.80571,335.6389,179.9952,39.62937
7.987745,0,1.244464,2.80571,335.6389,179.9952,39.62937
7.990275,0,1.244464,2.80571,335.6389,179.9952,39.62937
7.993519,0,1.244464,2.80571,335.6389,179.9952,39.62937
8.001747,0,1.244464,2.80571,335.5656,179.939,39.60022
8.007602,0,1.244464,2.80571,335.5656,179.939,39.60022
8.010886,0,1.244464,2.80571,335.5656,179.939,39.60022
8.014598,0,1.244464,2.80571,335.5656,179.939,39.60022
8.018038,0,1.244464,2.80571,335.5656,179.939,39.60022
8.020554,0,1.244464,2.80571,335.6389,179.939,39.60023
8.024063,0,1.244464,2.80571,335.6389,179.939,39.60023
8.027987,0,1.244464,2.80571,335.6389,179.939,39.60023
8.031114,0,1.244464,2.80571,335.6389,179.939,39.60023
8.034769,0,1.244464,2.80571,335.6389,179.939,39.60023
8.037624,0,1.244464,2.80571,335.6389,179.939,39.60023
8.040439,0,1.244464,2.80571,335.5656,179.9952,39.62937
8.04482,0,1.244464,2.80571,335.5656,179.9952,39.62937
8.048578,0,1.244464,2.80571,335.5656,179.9952,39.62937
8.051682,0,1.244464,2.80571,335.5656,179.9952,39.62937
8.055046,0,1.244464,2.80571,335.5656,179.9952,39.62937
8.058237,0,1.244464,2.80571,335.5656,179.9952,39.62937
8.061791,0,1.244464,2.80571,335.5656,179.9952,39.62937
8.06772,0,1.244464,2.80571,335.5656,179.9952,39.62937
8.070493,0,1.244464,2.80571,335.5656,179.9952,39.62937
8.073417,0,1.244464,2.80571,335.5656,179.9952,39.62937
8.076903,0,1.244464,2.80571,335.5656,179.9952,39.62937
8.080804,0,1.244464,2.80571,335.5656,179.939,39.60022
8.084281,0,1.244464,2.80571,335.5656,179.939,39.60022
8.087262,0,1.244464,2.80571,335.5656,179.939,39.60022
8.09038,0,1.244464,2.80571,335.5656,179.939,39.60022
8.094143,0,1.244464,2.80571,335.5656,179.939,39.60022
