time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
15.94602,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.94881,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.9522,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.95574,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.95854,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.96128,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.96625,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.96948,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.97254,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.97551,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.97831,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.981,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.98633,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.98893,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.99166,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.99448,0,1.244464,2.80571,317.9775,178.6655,282.6833
15.99761,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.00052,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.00627,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.01044,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.01502,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.01781,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.02116,0,1.244464,2.80571,318.0501,178.6193,282.6489
16.02629,0,1.244464,2.80571,318.0501,178.6193,282.6489
16.02918,0,1.244464,2.80571,318.0501,178.6193,282.6489
16.03224,0,1.244464,2.80571,318.0501,178.6193,282.6489
16.03499,0,1.244464,2.80571,318.0501,178.6193,282.6489
16.03801,0,1.244464,2.80571,318.0501,178.6193,282.6489
16.0408,0,1.244464,2.80571,318.0507,178.6637,282.6845
16.04672,0,1.244464,2.80571,318.0507,178.6637,282.6845
16.04935,0,1.244464,2.80571,318.0507,178.6637,282.6845
16.05214,0,1.244464,2.80571,318.0507,178.6637,282.6845
16.05553,0,1.244464,2.80571,318.0507,178.6637,282.6845
16.05818,0,1.244464,2.80571,318.0507,178.6637,282.6845
16.06138,0,1.244465,2.80571,318.0501,178.6193,282.6489
16.06557,0,1.244465,2.80571,318.0501,178.6193,282.6489
16.06822,0,1.244465,2.80571,318.0501,178.6193,282.6489
16.07136,0,1.244465,2.80571,318.0501,178.6193,282.6489
16.07406,0,1.244465,2.80571,318.0501,178.6193,282.6489
16.07732,0,1.244465,2.80571,318.0501,178.6193,282.6489
16.08026,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.08517,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.08822,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.0912,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.09414,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.0969,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.09967,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.10249,0,1.244464,2.80571,317.9781,178.7099,282.719
16.10703,0,1.244464,2.80571,317.9781,178.7099,282.719
16.10978,0,1.244464,2.80571,317.9781,178.7099,282.719
16.11258,0,1.244464,2.80571,317.9781,178.7099,282.719
16.11548,0,1.244464,2.80571,317.9781,178.7099,282.719
16.11809,0,1.244464,2.80571,317.9781,178.7099,282.719
16.12155,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.12611,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.12884,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.1317,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.13452,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.13785,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.14082,0,1.244464,2.80571,317.9769,178.6212,282.6476
16.14531,0,1.244464,2.80571,317.9769,178.6212,282.6476
16.14788,0,1.244464,2.80571,317.9769,178.6212,282.6476
16.15055,0,1.244464,2.80571,317.9769,178.6212,282.6476
16.15405,0,1.244464,2.80571,317.9769,178.6212,282.6476
16.15708,0,1.244464,2.80571,317.9769,178.6212,282.6476
16.1597,0,1.244464,2.80571,317.9769,178.6212,282.6476
16.16257,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.16588,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.16916,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.17241,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.1753,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.17802,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.18084,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.18647,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.18903,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.19198,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.19468,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.19741,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.20044,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.2063,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.20896,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.21176,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.21461,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.2181,0,1.244464,2.80571,317.9775,178.6655,282.6833
16.22126,0,1.244464,2.80571,317.9769,178.6212,282.6476
16.22622,0,1.244464,2.80571,317.9769,178.6212,282.6476
16.22869,0,1.244464,2.80571,317.9769,178.6212,282.6476
16.23226,0,1.244464,2.80571,317.9769,178.6212,282.6476
