time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.102846,-0.100258,2.05005,-1.589651,316.3893,185.3688,266.2547
8.110846,-0.100258,2.05005,-1.589651,316.3893,185.3688,266.2547
8.115259,-0.100258,2.05005,-1.589651,316.3893,185.3688,266.2547
8.11916,-0.100258,2.05005,-1.589651,316.3893,185.3688,266.2547
8.12234,-0.100258,2.05005,-1.589651,316.3893,185.3688,266.2547
8.126656,-0.100258,2.05005,-1.589651,316.3893,185.3688,266.2547
8.12923,-0.100258,2.05005,-1.589651,316.3893,185.3688,266.2547
8.132197,-0.100258,2.05005,-1.589651,316.3893,185.3688,266.2547
8.135118,-0.100258,2.05005,-1.589651,316.3893,185.3688,266.2547
8.138797,-0.100258,2.05005,-1.589651,316.3893,185.3688,266.2547
8.141604,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.145726,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.148226,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.150908,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.154614,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.157458,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.160019,-0.100258,2.05005,-1.589651,316.3855,185.1849,266.3206
8.163383,-0.100258,2.05005,-1.589651,316.3855,185.1849,266.3206
8.166097,-0.100258,2.05005,-1.589651,316.3855,185.1849,266.3206
8.169313,-0.100258,2.05005,-1.589651,316.3855,185.1849,266.3206
8.172546,-0.100258,2.05005,-1.589651,316.3855,185.1849,266.3206
8.175506,-0.100258,2.05005,-1.589651,316.3855,185.1849,266.3206
8.178244,-0.100258,2.05005,-1.589651,316.3855,185.1849,266.3206
8.181003,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.186155,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.189002,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.191823,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.194709,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.197519,-0.100258,2.05005,-1.589651,316.4587,185.1821,266.3226
8.200672,-0.10027,2.05005,-1.590621,316.4568,185.0902,266.3555
