time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
15.54473,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1946
15.5537,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1946
15.55919,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1946
15.56321,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1946
15.56769,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1946
15.57149,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1946
15.57537,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1946
15.57971,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1946
15.58387,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1214
15.58799,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1214
15.5916,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1214
15.59579,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1214
15.59925,-0.044617,2.05005,-1.528978,324.3541,199.9063,104.1214
15.60292,-0.044617,2.05005,-1.528978,324.4269,199.896,104.1274
15.60733,-0.044617,2.05005,-1.528978,324.4269,199.896,104.1274
15.61142,-0.044617,2.05005,-1.528978,324.4269,199.896,104.1274
15.61508,-0.044617,2.05005,-1.528978,324.4269,199.896,104.1274
15.61913,-0.044617,2.05005,-1.528978,324.4269,199.896,104.1274
15.62323,-0.041185,2.05005,-1.528996,324.3462,199.7974,104.2222
15.62791,-0.041185,2.05005,-1.528996,324.3462,199.7974,104.2222
15.63146,-0.041185,2.05005,-1.528996,324.3462,199.7974,104.2222
15.63565,-0.041185,2.05005,-1.528996,324.3462,199.7974,104.2222
15.63938,-0.041185,2.05005,-1.528996,324.3462,199.7974,104.2222
15.64323,-0.041185,2.05005,-1.528996,324.4189,199.7871,104.2282
15.64774,-0.041185,2.05005,-1.528996,324.4189,199.7871,104.2282
15.65175,-0.041185,2.05005,-1.528996,324.4189,199.7871,104.2282
15.65604,-0.041185,2.05005,-1.528996,324.4189,199.7871,104.2282
15.65951,-0.041185,2.05005,-1.528996,324.4189,199.7871,104.2282
15.66315,-0.041185,2.05005,-1.528996,324.411,199.7018,104.2557
15.66752,-0.041185,2.05005,-1.528996,324.411,199.7018,104.2557
15.6714,-0.041185,2.05005,-1.528996,324.411,199.7018,104.2557
15.67552,-0.041185,2.05005,-1.528996,324.411,199.7018,104.2557
15.67908,-0.041185,2.05005,-1.528996,324.411,199.7018,104.2557
15.68254,-0.041185,2.05005,-1.528996,324.4031,199.6165,104.2101
15.68762,-0.041185,2.05005,-1.528996,324.4031,199.6165,104.2101
15.69165,-0.041185,2.05005,-1.528996,324.4031,199.6165,104.2101
15.69798,-0.041185,2.05005,-1.528996,324.4031,199.6165,104.2101
15.70382,-0.041185,2.05005,-1.528996,324.411,199.7018,104.2557
15.7134,-0.041185,2.05005,-1.528996,324.411,199.7018,104.2557
15.716,-0.041185,2.05005,-1.528996,324.411,199.7018,104.2557
