time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
15.54473,0.028343,2.05005,-0.075319,330.1023,193.0243,24.17319
15.5537,0.028343,2.05005,-0.075319,330.1023,193.0243,24.17319
15.55919,0.028343,2.05005,-0.075319,330.1023,193.0243,24.17319
15.56321,0.028343,2.05005,-0.075319,330.0291,193.027,24.17183
15.56769,0.028343,2.05005,-0.075319,330.0291,193.027,24.17183
15.57149,0.028343,2.05005,-0.075319,330.0291,193.027,24.17183
15.57537,0.028343,2.05005,-0.075319,330.0291,193.027,24.17183
15.57971,0.028343,2.05005,-0.075319,330.0291,193.027,24.17183
15.58387,0.028343,2.05005,-0.075319,330.1023,193.0243,24.24642
15.58799,0.028343,2.05005,-0.075319,330.1023,193.0243,24.24642
15.5916,0.028343,2.05005,-0.075319,330.1023,193.0243,24.24642
15.59579,0.028343,2.05005,-0.075319,330.1023,193.0243,24.24642
15.59925,0.028343,2.05005,-0.075319,330.1023,193.0243,24.24642
15.60292,0.028343,2.05005,-0.075319,330.1023,193.0243,24.24642
15.60733,0.028343,2.05005,-0.075319,330.1023,193.0243,24.24642
15.61142,0.028343,2.05005,-0.075319,330.1023,193.0243,24.24642
15.61508,0.028343,2.05005,-0.075319,330.1023,193.0243,24.24642
15.61913,0.028343,2.05005,-0.075319,330.1023,193.0243,24.24642
15.62323,0.028343,2.05005,-0.075319,330.0291,193.027,24.17183
15.62791,0.028343,2.05005,-0.075319,330.0291,193.027,24.17183
15.63146,0.028343,2.05005,-0.075319,330.0291,193.027,24.17183
15.63565,0.028343,2.05005,-0.075319,330.0291,193.027,24.17183
15.63938,0.028343,2.05005,-0.075319,330.0291,193.027,24.17183
15.64323,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.64774,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.65175,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.65604,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.65951,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.66315,0.028354,2.05005,-0.078013,330.0795,193.0274,24.24024
15.66752,0.028354,2.05005,-0.078013,330.0795,193.0274,24.24024
15.6714,0.028354,2.05005,-0.078013,330.0795,193.0274,24.24024
15.67552,0.028354,2.05005,-0.078013,330.0795,193.0274,24.24024
15.67908,0.028354,2.05005,-0.078013,330.0795,193.0274,24.24024
15.68254,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.68762,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.69165,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.69798,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.70382,0.028354,2.05005,-0.078013,330.0795,193.0274,24.167
15.7134,0.028354,2.05005,-0.078013,330.0795,193.0274,24.167
15.716,0.028354,2.05005,-0.078013,330.0795,193.0274,24.167
15.72142,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.72581,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.72944,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.73393,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.73816,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.74204,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.74595,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.74981,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.75431,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.75825,0.028354,2.05005,-0.078013,330.0085,193.108,24.15501
15.76211,0.028354,2.05005,-0.078013,330.0795,193.0274,24.167
15.76745,0.028354,2.05005,-0.078013,330.0795,193.0274,24.167
15.77093,0.028354,2.05005,-0.078013,330.0795,193.0274,24.167
15.77535,0.028354,2.05005,-0.078013,330.0795,193.0274,24.167
15.77897,0.028354,2.05005,-0.078013,330.0795,193.0274,24.167
15.78338,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.78771,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.79147,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.79554,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.79896,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.80241,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.80709,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.81177,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.81654,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.8203,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.82527,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.82987,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.83395,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.83767,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.84191,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.84659,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.85097,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.85508,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.85911,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.86285,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.86746,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.87122,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.87547,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.8796,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.88358,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.88844,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.89222,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.89576,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.89936,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.90328,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.90907,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.91343,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.91761,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.92169,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.92624,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.92944,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.93421,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.9386,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.94205,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.94639,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.95077,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.95488,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.95886,0.028354,2.05005,-0.078013,330.0063,193.0301,24.16565
15.96264,0.028354,2.05005,-0.078013,330.0063,193.0301,24.23889
15.96743,0.028354,2.05005,-0.078013,330.0063,193.0301,24.23889
15.97106,0.028354,2.05005,-0.078013,330.0063,193.0301,24.23889
15.9748,0.028354,2.05005,-0.078013,330.0063,193.0301,24.23889
15.97832,0.028354,2.05005,-0.078013,330.0063,193.0301,24.23889
