timestamp,log_type,message,stacktrace
0,Log,x difference: -0.003299287,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.02,Log,x difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.02,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.3533334,Log,x difference: 0.06666676,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.3533334,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4034086,Log,x difference: 0.01704274,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4034086,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4181308,Log,x difference: 0.01704264,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4181308,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4216419,Log,x difference: 0.008209263,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4216419,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4276779,Log,x difference: 0.008209229,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4276779,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4319963,Log,x difference: 0.008209229,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4319963,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4362263,Log,x difference: 0.008209229,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4362263,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.44177,Log,x difference: 0.008849755,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.44177,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4499798,Log,x difference: 0.008849621,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4499798,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4537373,Log,x difference: 0.008849621,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4537373,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4591329,Log,x difference: 0.008849621,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4591329,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4628728,Log,x difference: 0.01436425,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4628728,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4701535,Log,x difference: 0.01436424,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4701535,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4749473,Log,x difference: 0.01436424,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4749473,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4783581,Log,x difference: 0.01436424,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4783581,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4831635,Log,x difference: 0.01581774,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4831635,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4896984,Log,x difference: 0.01581764,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4896984,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.4935572,Log,x difference: 0.01581764,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
0.4935572,Log,y difference: 0,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:37).  
0.498751,Log,x difference: 0.01581764,UnityEngine.Debug:Log (object).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:36).  
