timestamp,log_type,message,stacktrace
4.509113,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:333).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
11.60121,Log,New Trial,UnityEngine.Debug:Log (object).  StartPointController/<Countdown>d__6:MoveNext () (at Assets/Scripts/StartPointController.cs:35).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
11.60904,Log,Started Coroutine at timestamp : 11.60904,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
11.60904,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
11.60904,Log,trainee pos: (-0.14 2.05 -1.56),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
14.60992,Log,Finished Coroutine at timestamp : 14.60992,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:56).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
14.61335,Log,Started Coroutine at timestamp : 14.61335,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
14.61335,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
14.61335,Log,trainee pos: (-1.18 2.05 -1.18),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
17.61394,Log,Finished Coroutine at timestamp : 17.61394,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:56).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
17.61811,Log,Started Coroutine at timestamp : 17.61811,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
17.61811,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
17.61811,Log,trainee pos: (-1.32 2.05 -0.52),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
20.62048,Log,Finished Coroutine at timestamp : 20.62048,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:56).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
20.62391,Log,Started Coroutine at timestamp : 20.62391,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
20.62391,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
20.62391,Log,trainee pos: (-0.87 2.05 -0.31),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
23.6254,Log,Finished Coroutine at timestamp : 23.6254,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:56).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
23.62866,Log,Started Coroutine at timestamp : 23.62866,UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:38).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
23.62866,Log,mentor pos: (0.00 1.24 2.81),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:49).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
23.62866,Log,trainee pos: (-0.07 2.05 -0.48),UnityEngine.Debug:Log (object).  PositionReader/<ExampleCoroutine>d__7:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:67).  
