time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
11.60121,0,1.244464,2.80571,317.9769,178.6212,282.6476
11.60904,0,1.244464,2.80571,317.9769,178.6212,282.6476
11.61291,0,1.244464,2.80571,317.9769,178.6212,282.6476
11.61621,0,1.244464,2.80571,317.9769,178.6212,282.6476
11.61904,0,1.244464,2.80571,317.9769,178.6212,282.6476
11.62243,0,1.244464,2.80571,318.0507,178.6637,282.6845
11.6258,0,1.244464,2.80571,318.0507,178.6637,282.6845
11.6287,0,1.244464,2.80571,318.0507,178.6637,282.6845
11.63151,0,1.244464,2.80571,318.0507,178.6637,282.6845
11.63497,0,1.244464,2.80571,318.0507,178.6637,282.6845
11.63843,0,1.244464,2.80571,318.0507,178.6637,282.6845
11.64115,0,1.244464,2.80571,318.0501,178.6193,282.6489
11.64813,0,1.244464,2.80571,318.0501,178.6193,282.6489
11.65161,0,1.244464,2.80571,318.0501,178.6193,282.6489
11.6558,0,1.244464,2.80571,318.0501,178.6193,282.6489
11.65875,0,1.244464,2.80571,318.0501,178.6193,282.6489
11.66232,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.66768,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.67197,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.67507,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.67825,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.68126,0,1.244465,2.80571,317.9775,178.6655,282.6833
11.68575,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.68839,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.69122,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.69409,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.69716,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.70086,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.70435,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.70746,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.71016,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.71291,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.71657,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.71934,0,1.244464,2.80571,317.9775,178.6655,282.6833
11.72196,0,1.244465,2.80571,318.0507,178.6637,282.6845
11.72523,0,1.244464,2.80571,318.0507,178.6637,282.6845
11.72789,0,1.244464,2.80571,318.0507,178.6637,282.6845
11.73148,0,1.244464,2.80571,318.0507,178.6637,282.6845
11.73483,0,1.244464,2.80571,318.0507,178.6637,282.6845
