time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
48.68215,-0.040921,2.05005,-1.475471,325.3054,183.0952,315.6534
48.68569,-0.040921,2.05005,-1.475471,325.3054,183.0952,315.6534
48.6889,-0.040921,2.05005,-1.475471,325.3054,183.0952,315.6534
48.69231,-0.040921,2.05005,-1.475471,325.3054,183.0952,315.6534
48.69494,-0.040921,2.05005,-1.475471,325.3054,183.0952,315.6534
48.69806,-0.040921,2.05005,-1.475471,325.3054,183.0952,315.6534
48.7007,-0.040921,2.05005,-1.475471,325.3787,183.0937,315.581
48.70386,-0.040921,2.05005,-1.475471,325.3787,183.0937,315.581
48.70729,-0.040921,2.05005,-1.475471,325.3787,183.0937,315.581
48.7101,-0.040921,2.05005,-1.475471,325.3787,183.0937,315.581
48.71296,-0.040921,2.05005,-1.475471,325.3787,183.0937,315.581
48.71624,-0.040921,2.05005,-1.475471,325.3787,183.0937,315.581
48.72586,-0.040921,2.05005,-1.475471,325.3787,183.0937,315.6542
48.73016,-0.040921,2.05005,-1.475471,325.3787,183.0937,315.6542
48.73267,-0.040921,2.05005,-1.475471,325.3787,183.0937,315.6542
48.73572,-0.040921,2.05005,-1.475471,325.3787,183.0937,315.6542
48.7392,-0.040921,2.05005,-1.475471,325.3787,183.0937,315.6542
48.74416,-0.044331,2.05005,-1.475454,325.3798,183.2027,315.5531
48.75061,-0.044331,2.05005,-1.475454,325.3798,183.2027,315.5531
48.75321,-0.044331,2.05005,-1.475454,325.3798,183.2027,315.5531
48.75651,-0.044331,2.05005,-1.475454,325.3798,183.2027,315.5531
48.76066,-0.044331,2.05005,-1.475454,325.3798,183.2027,315.6264
48.76573,-0.044331,2.05005,-1.475454,325.3798,183.2027,315.6264
48.76907,-0.044331,2.05005,-1.475454,325.3798,183.2027,315.6264
48.77167,-0.044331,2.05005,-1.475454,325.3798,183.2027,315.6264
48.77438,-0.044331,2.05005,-1.475454,325.3798,183.2027,315.6264
48.77715,-0.044331,2.05005,-1.475454,325.3798,183.2027,315.6264
48.78003,-0.044331,2.05005,-1.475454,325.453,183.2012,315.6272
48.78429,-0.044331,2.05005,-1.475454,325.453,183.2012,315.6272
48.78706,-0.044331,2.05005,-1.475454,325.453,183.2012,315.6272
48.78995,-0.044331,2.05005,-1.475454,325.453,183.2012,315.6272
48.79277,-0.044331,2.05005,-1.475454,325.453,183.2012,315.6272
48.79562,-0.044331,2.05005,-1.475454,325.453,183.2012,315.6272
48.79903,-0.044331,2.05005,-1.475454,325.453,183.2012,315.6272
48.80206,-0.047741,2.05005,-1.475435,325.453,183.2248,315.6272
48.80537,-0.047741,2.05005,-1.475435,325.453,183.2248,315.6272
48.80793,-0.047741,2.05005,-1.475435,325.453,183.2248,315.6272
48.81061,-0.047741,2.05005,-1.475435,325.453,183.2248,315.6272
48.81339,-0.047741,2.05005,-1.475435,325.453,183.2248,315.6272
