time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
72.40569,0.010301,2.05005,-1.533201,343.6298,185.2642,300.0226
72.40958,0.010301,2.05005,-1.533201,343.6298,185.2642,300.0226
72.41388,0.010301,2.05005,-1.533201,343.6298,185.2642,300.0226
72.41731,0.010301,2.05005,-1.533201,343.6298,185.2642,300.0226
72.42072,0.010305,2.05005,-1.535779,343.6065,185.2648,300.1668
72.42535,0.010305,2.05005,-1.535779,343.6065,185.2648,300.1668
72.42895,0.010305,2.05005,-1.535779,343.6065,185.2648,300.1668
72.43268,0.010305,2.05005,-1.535779,343.6065,185.2648,300.1668
72.4363,0.010305,2.05005,-1.535779,343.6065,185.2648,300.1668
72.43996,0.010305,2.05005,-1.535779,343.6065,185.2648,300.1668
72.44306,0.013739,2.05005,-1.535774,343.6797,185.2391,300.2407
72.4472,0.013739,2.05005,-1.535774,343.6797,185.2391,300.2407
72.45072,0.013739,2.05005,-1.535774,343.6797,185.2391,300.2407
72.45415,0.013739,2.05005,-1.535774,343.6797,185.2391,300.2407
72.45795,0.013739,2.05005,-1.535774,343.6797,185.2391,300.2407
72.46198,0.017174,2.05005,-1.535768,343.6065,185.2177,300.4598
72.46626,0.017174,2.05005,-1.535768,343.6065,185.2177,300.4598
72.46981,0.017174,2.05005,-1.535768,343.6065,185.2177,300.4598
72.47376,0.017174,2.05005,-1.535768,343.6065,185.2177,300.4598
72.47718,0.017174,2.05005,-1.535768,343.6065,185.2177,300.4598
72.48058,0.027476,2.05005,-1.534791,343.6087,185.2233,300.8021
72.48457,0.027476,2.05005,-1.534791,343.6087,185.2233,300.8021
72.48777,0.027476,2.05005,-1.534791,343.6087,185.2233,300.8021
72.4923,0.027476,2.05005,-1.534791,343.6087,185.2233,300.8021
72.49575,0.027476,2.05005,-1.534791,343.6087,185.2233,300.8021
72.49953,0.027476,2.05005,-1.534791,343.6087,185.2233,300.8021
72.50336,0.048071,2.05005,-1.532797,343.5399,185.2368,301.1196
72.51537,0.048071,2.05005,-1.532796,343.5399,185.2368,301.1196
72.51946,0.048071,2.05005,-1.532796,343.5399,185.2368,301.1196
72.52308,0.071976,2.05005,-1.517537,343.5688,185.3768,301.3992
72.52883,0.071976,2.05005,-1.517537,343.5688,185.3768,301.3992
72.53187,0.071976,2.05005,-1.517537,343.5688,185.3768,301.3992
72.53505,0.071976,2.05005,-1.517537,343.5688,185.3768,301.3992
