time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
34.64161,-0.057167,2.05005,-1.360291,330.5445,198.0006,54.92153
34.64584,-0.057167,2.05005,-1.360291,330.5445,198.0006,54.92153
34.64902,-0.057167,2.05005,-1.360291,330.5445,198.0006,54.92153
34.65269,-0.057167,2.05005,-1.360291,330.5445,198.0006,54.92153
34.65627,-0.057167,2.05005,-1.360291,330.5445,198.0006,54.92153
34.65983,-0.057167,2.05005,-1.360291,330.5445,198.0006,54.92153
34.66335,-0.057156,2.05005,-1.358702,330.5667,197.9966,55.00289
34.66712,-0.057156,2.05005,-1.358702,330.5667,197.9966,55.00289
34.67069,-0.057156,2.05005,-1.358702,330.5667,197.9966,55.00289
34.67445,-0.057156,2.05005,-1.358702,330.5667,197.9966,55.00289
34.6777,-0.057156,2.05005,-1.358702,330.5667,197.9966,55.00289
34.681,-0.057156,2.05005,-1.358702,330.5667,197.9966,54.92964
34.68512,-0.057156,2.05005,-1.358702,330.5667,197.9966,54.92964
34.68807,-0.057156,2.05005,-1.358702,330.5667,197.9966,54.92964
34.69217,-0.057156,2.05005,-1.358702,330.5667,197.9966,54.92964
34.70228,-0.057138,2.05005,-1.356107,330.589,197.9926,54.93776
34.7066,-0.057138,2.05005,-1.356107,330.589,197.9926,54.93776
34.71214,-0.057138,2.05005,-1.356107,330.589,197.9926,54.93776
34.7151,-0.057138,2.05005,-1.356107,330.589,197.9926,54.93776
34.71867,-0.057138,2.05005,-1.356107,330.589,197.9926,54.93776
34.72158,-0.057138,2.05005,-1.356107,330.5227,198.082,54.91015
34.72598,-0.057138,2.05005,-1.356107,330.5227,198.082,54.91015
34.72897,-0.057138,2.05005,-1.356107,330.5227,198.082,54.91015
34.73264,-0.057138,2.05005,-1.356107,330.5227,198.082,54.91015
34.73629,-0.057138,2.05005,-1.356107,330.5227,198.082,54.91015
34.73955,-0.057138,2.05005,-1.356107,330.5227,198.082,54.91015
34.74355,-0.057126,2.05005,-1.354517,330.5383,197.9964,54.94204
34.74741,-0.057126,2.05005,-1.354517,330.5383,197.9964,54.94204
34.75068,-0.057126,2.05005,-1.354517,330.5383,197.9964,54.94204
34.75404,-0.057126,2.05005,-1.354517,330.5383,197.9964,54.94204
34.75781,-0.057126,2.05005,-1.354517,330.5383,197.9964,54.94204
34.76083,-0.057108,2.05005,-1.351922,330.5606,197.9924,54.87691
34.7649,-0.057108,2.05005,-1.351922,330.5606,197.9924,54.87691
34.76778,-0.057108,2.05005,-1.351922,330.5606,197.9924,54.87691
34.77119,-0.057108,2.05005,-1.351922,330.5606,197.9924,54.87691
34.77479,-0.057108,2.05005,-1.351922,330.5606,197.9924,54.87691
34.77853,-0.057108,2.05005,-1.351922,330.5606,197.9924,54.87691
34.78154,-0.057115,2.05005,-1.352925,330.5606,197.9924,54.95016
34.78537,-0.057115,2.05005,-1.352925,330.5606,197.9924,54.95016
34.78865,-0.057115,2.05005,-1.352925,330.5606,197.9924,54.95016
34.79222,-0.057115,2.05005,-1.352925,330.5606,197.9924,54.95016
34.79605,-0.057115,2.05005,-1.352925,330.5606,197.9924,54.95016
34.7995,-0.057115,2.05005,-1.352925,330.5606,197.9924,54.95016
34.80259,-0.057115,2.05005,-1.352925,330.627,197.9031,54.97765
34.80674,-0.057115,2.05005,-1.352925,330.627,197.9031,54.97765
34.81032,-0.057115,2.05005,-1.352925,330.627,197.9031,54.97765
34.81352,-0.057115,2.05005,-1.352925,330.627,197.9031,54.97765
34.81654,-0.057115,2.05005,-1.352925,330.627,197.9031,54.97765
34.81958,-0.057115,2.05005,-1.352925,330.627,197.9031,54.97765
34.82278,-0.057115,2.05005,-1.352925,330.554,197.9108,54.97387
34.82701,-0.057115,2.05005,-1.352925,330.554,197.9108,54.97387
34.82996,-0.057115,2.05005,-1.352925,330.554,197.9108,54.97387
34.83282,-0.057115,2.05005,-1.352925,330.554,197.9108,54.97387
34.83583,-0.057115,2.05005,-1.352925,330.554,197.9108,54.97387
34.83917,-0.057115,2.05005,-1.352925,330.554,197.9108,54.97387
34.8434,-0.060475,2.05005,-1.352901,330.4811,197.942,54.9701
34.84707,-0.060475,2.05005,-1.352901,330.4811,197.942,54.9701
34.8504,-0.060475,2.05005,-1.352901,330.4811,197.942,54.9701
34.85338,-0.060475,2.05005,-1.352901,330.4811,197.942,54.9701
34.85716,-0.060475,2.05005,-1.352901,330.4811,197.942,54.9701
34.86066,-0.060475,2.05005,-1.352901,330.554,197.9343,54.97389
34.86432,-0.060475,2.05005,-1.352901,330.554,197.9343,54.97389
34.86749,-0.060475,2.05005,-1.352901,330.554,197.9343,54.97389
34.87102,-0.060475,2.05005,-1.352901,330.554,197.9343,54.97389
34.8746,-0.060475,2.05005,-1.352901,330.554,197.9343,54.97389
34.87739,-0.060475,2.05005,-1.352901,330.554,197.9343,54.97389
34.88104,-0.060456,2.05005,-1.350305,330.5034,197.938,54.97816
34.88468,-0.060456,2.05005,-1.350305,330.5034,197.938,54.97816
34.88777,-0.060456,2.05005,-1.350305,330.5034,197.938,54.97816
34.89122,-0.060456,2.05005,-1.350305,330.5034,197.938,54.97816
34.89466,-0.060456,2.05005,-1.350305,330.5034,197.938,54.97816
34.89767,-0.060456,2.05005,-1.350305,330.5034,197.938,54.97816
