experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,1,1,1,21.90476,25.12,0,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T001.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T001.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,2,1,2,27.54804,28.94,0,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T002.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T002.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,3,1,3,31.70197,32.96,0,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T003.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T003.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,4,1,4,34.64161,36.04,0,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T004.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T004.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,5,1,5,38.64003,40.08,0,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T005.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T005.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,6,2,1,42.90377,43.88,60,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T006.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T006.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,7,2,2,47.32311,48.66,60,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T007.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T007.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,8,2,3,51.28571,52.16,60,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T008.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T008.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,9,3,1,55.16435,56.28,45,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T009.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T009.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,10,3,2,57.92546,58.64,45,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T010.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T010.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,11,3,3,60.10291,61.02,45,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T011.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T011.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,12,3,4,62.56406,63.3,45,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T012.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T012.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,13,3,5,65.46422,66.3,45,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T013.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T013.csv
reaching,tree-71d7c98b-c5af-484e-8147-f4c55830b2a5,1,14,3,6,67.78529,68.52,45,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/trainee_right_stylus_movement_T014.csv,reaching/tree-71d7c98b-c5af-484e-8147-f4c55830b2a5/S001/trackers/mentor_left_stylus_movement_T014.csv
