time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.62372,-0.085775,2.05005,-1.526082,312.2997,185.6259,345.7091
19.62758,-0.085775,2.05005,-1.526082,312.2997,185.6259,345.7091
19.63051,-0.085775,2.05005,-1.526082,312.2997,185.6259,345.7091
19.63359,-0.085775,2.05005,-1.526082,312.2997,185.6259,345.7091
19.63653,-0.085775,2.05005,-1.526082,312.2997,185.6259,345.7091
19.63912,-0.085775,2.05005,-1.526082,312.2997,185.6259,345.7091
19.64302,-0.085775,2.05005,-1.526082,312.2286,185.7245,345.6717
19.64658,-0.085775,2.05005,-1.526082,312.2286,185.7245,345.6717
19.6498,-0.085775,2.05005,-1.526082,312.2286,185.7245,345.6717
19.65281,-0.085775,2.05005,-1.526082,312.2286,185.7245,345.6717
19.65582,-0.085775,2.05005,-1.526082,312.2286,185.7245,345.6717
19.6589,-0.085775,2.05005,-1.526082,312.2286,185.7245,345.6717
19.66178,-0.085785,2.05005,-1.527076,312.2286,185.7245,345.745
19.66641,-0.085785,2.05005,-1.527076,312.2286,185.7245,345.745
19.66897,-0.085785,2.05005,-1.527076,312.2286,185.7245,345.745
19.67244,-0.085785,2.05005,-1.527076,312.2286,185.7245,345.745
19.67499,-0.085785,2.05005,-1.527076,312.2286,185.7245,345.745
19.67768,-0.085785,2.05005,-1.527076,312.2286,185.7245,345.745
19.68058,-0.085785,2.05005,-1.527076,312.3018,185.7209,345.7476
19.68692,-0.085785,2.05005,-1.527076,312.3018,185.7209,345.7476
19.68965,-0.085785,2.05005,-1.527076,312.3018,185.7209,345.7476
19.69493,-0.085785,2.05005,-1.527076,312.3018,185.7209,345.7476
19.69714,-0.085785,2.05005,-1.527076,312.3018,185.7209,345.7476
19.7001,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.7042,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.70707,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.70977,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.71248,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.71575,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.71905,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.72176,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.72741,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.73043,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.73404,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.73735,-0.085785,2.05005,-1.527076,312.3039,185.816,345.7129
19.74136,-0.085785,2.05005,-1.527076,312.3061,185.9111,345.6781
19.75445,-0.085785,2.05005,-1.527076,312.3061,185.9111,345.6781
19.75673,-0.085785,2.05005,-1.527076,312.3061,185.9111,345.6781
19.75925,-0.085785,2.05005,-1.527076,312.3061,185.9111,345.6781
19.76197,-0.085785,2.05005,-1.527076,312.2351,186.0099,345.5674
19.76786,-0.085785,2.05005,-1.527076,312.2351,186.0099,345.5674
19.77036,-0.085785,2.05005,-1.527076,312.2351,186.0099,345.5674
19.77297,-0.085785,2.05005,-1.527076,312.2351,186.0099,345.5674
19.77578,-0.085785,2.05005,-1.527076,312.2351,186.0099,345.5674
19.77859,-0.085785,2.05005,-1.527076,312.2351,186.0099,345.5674
19.78164,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.78627,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.78876,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.79154,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.79418,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.79727,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.80091,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.80396,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.80677,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.80943,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.81203,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.81598,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.81886,-0.085785,2.05005,-1.527076,312.3083,186.0062,345.6434
19.82137,-0.085785,2.05005,-1.527076,312.3105,186.1012,345.6087
19.82729,-0.085785,2.05005,-1.527076,312.3105,186.1012,345.6087
19.83048,-0.085785,2.05005,-1.527076,312.3105,186.1012,345.6087
19.83362,-0.085785,2.05005,-1.527076,312.3105,186.1012,345.6087
19.83632,-0.085785,2.05005,-1.527076,312.3105,186.1012,345.6087
19.83915,-0.085785,2.05005,-1.527076,312.3105,186.1012,345.6087
19.84171,-0.096049,2.05005,-1.52439,312.3105,186.1719,345.6087
19.84746,-0.096049,2.05005,-1.52439,312.3105,186.1719,345.6087
19.84973,-0.096049,2.05005,-1.52439,312.3105,186.1719,345.6087
19.85235,-0.096049,2.05005,-1.52439,312.3105,186.1719,345.6087
19.85519,-0.096049,2.05005,-1.52439,312.3105,186.1719,345.6087
19.85818,-0.096049,2.05005,-1.52439,312.3105,186.1719,345.6087
19.86174,-0.119838,2.05005,-1.508631,312.4754,186.4144,345.5976
19.86673,-0.119838,2.05005,-1.508631,312.4754,186.4144,345.5976
