time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.62372,0,1.244464,2.80571,335.6389,179.9952,39.62937
19.62758,0,1.244464,2.80571,335.6389,179.9952,39.62937
19.63051,0,1.244464,2.80571,335.6389,179.9952,39.62937
19.63359,0,1.244464,2.80571,335.6389,179.9952,39.62937
19.63653,0,1.244464,2.80571,335.6389,179.9952,39.62937
19.63912,0,1.244464,2.80571,335.6389,179.9952,39.62937
19.64302,0,1.244464,2.80571,335.6389,179.939,39.52699
19.64658,0,1.244464,2.80571,335.6389,179.939,39.52699
19.6498,0,1.244464,2.80571,335.6389,179.939,39.52699
19.65281,0,1.244464,2.80571,335.6389,179.939,39.52699
19.65582,0,1.244464,2.80571,335.6389,179.939,39.52699
19.6589,0,1.244464,2.80571,335.6389,179.939,39.52699
19.66178,0,1.244464,2.80571,335.6389,179.939,39.60023
19.66641,0,1.244464,2.80571,335.6389,179.939,39.60023
19.66897,0,1.244464,2.80571,335.6389,179.939,39.60023
19.67244,0,1.244464,2.80571,335.6389,179.939,39.60023
19.67499,0,1.244464,2.80571,335.6389,179.939,39.60023
19.67768,0,1.244464,2.80571,335.6389,179.939,39.60023
19.68058,0,1.244464,2.80571,335.6389,179.939,39.60023
19.68692,0,1.244464,2.80571,335.6389,179.939,39.60023
19.68965,0,1.244464,2.80571,335.6389,179.939,39.60023
19.69493,0,1.244464,2.80571,335.6389,179.939,39.60023
19.69714,0,1.244464,2.80571,335.6389,179.939,39.60023
19.7001,0,1.244465,2.80571,335.7121,179.8826,39.57114
19.7042,0,1.244464,2.80571,335.7121,179.8826,39.57114
19.70707,0,1.244464,2.80571,335.7121,179.8826,39.57114
19.70977,0,1.244464,2.80571,335.7121,179.8826,39.57114
19.71248,0,1.244464,2.80571,335.7121,179.8826,39.57114
19.71575,0,1.244464,2.80571,335.7121,179.8826,39.57114
19.71905,0,1.244464,2.80571,335.7121,179.8826,39.57114
19.72176,0,1.244464,2.80571,335.7121,179.9389,39.60026
19.72741,0,1.244464,2.80571,335.7121,179.9389,39.60026
19.73043,0,1.244464,2.80571,335.7121,179.9389,39.60026
19.73404,0,1.244464,2.80571,335.7121,179.9389,39.60026
