time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.62531,-0.06219,2.05005,-1.584625,320.7267,178.1064,63.36781
10.63705,-0.06219,2.05005,-1.584625,320.7267,178.1064,63.36781
10.64185,-0.062171,2.05005,-1.582059,320.7491,178.196,63.40885
10.6458,-0.062171,2.05005,-1.582059,320.7491,178.196,63.40885
10.64946,-0.062171,2.05005,-1.582059,320.7491,178.196,63.40885
10.65313,-0.062171,2.05005,-1.582059,320.7491,178.196,63.40885
10.65622,-0.062171,2.05005,-1.582059,320.7491,178.196,63.40885
10.65932,-0.062171,2.05005,-1.582059,320.7491,178.196,63.40885
10.66264,-0.062159,2.05005,-1.580479,320.7725,178.1968,63.40768
10.66679,-0.062159,2.05005,-1.580479,320.7725,178.1968,63.40768
10.67038,-0.062159,2.05005,-1.580479,320.7725,178.1968,63.40768
10.67389,-0.062159,2.05005,-1.580479,320.7725,178.1968,63.40768
10.67717,-0.062159,2.05005,-1.580479,320.7725,178.1968,63.40768
10.68021,-0.06214,2.05005,-1.577912,320.7968,178.1087,63.43741
10.68523,-0.06214,2.05005,-1.577912,320.7968,178.1087,63.43741
10.68856,-0.06214,2.05005,-1.577912,320.7968,178.1087,63.43741
10.69189,-0.06214,2.05005,-1.577912,320.7968,178.1087,63.43741
10.69633,-0.06214,2.05005,-1.577912,320.7968,178.1087,63.43741
10.70111,-0.06214,2.05005,-1.577912,320.7216,178.285,63.30313
10.70492,-0.06214,2.05005,-1.577912,320.7216,178.285,63.30313
10.70782,-0.06214,2.05005,-1.577912,320.7216,178.285,63.30313
10.71127,-0.06214,2.05005,-1.577912,320.7216,178.285,63.30313
10.715,-0.06214,2.05005,-1.577912,320.7216,178.285,63.30313
10.71893,-0.06214,2.05005,-1.577912,320.7216,178.285,63.30313
10.72196,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.43909
10.72582,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.43909
10.72931,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.43909
10.73325,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.43909
10.73622,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.43909
10.73954,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.43909
10.74315,-0.06214,2.05005,-1.577912,320.7235,178.1074,63.43824
10.74721,-0.06214,2.05005,-1.577912,320.7235,178.1074,63.43824
10.75136,-0.06214,2.05005,-1.577912,320.7235,178.1074,63.43824
10.75455,-0.06214,2.05005,-1.577912,320.7235,178.1074,63.43824
10.7575,-0.06214,2.05005,-1.577912,320.7235,178.1074,63.43824
10.76031,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.36585
10.76439,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.36585
10.76732,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.36585
10.77063,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.36585
10.77414,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.36585
10.77707,-0.06214,2.05005,-1.577912,320.6503,178.1061,63.36585
10.78066,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.7848,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.78805,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.79082,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.7944,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.79775,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.8015,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.3968
10.80522,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.3968
10.80838,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.3968
10.81201,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.3968
10.81537,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.3968
10.81858,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.3968
10.82167,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.82576,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.8301,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.83348,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.83656,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.83965,-0.06214,2.05005,-1.577912,320.6512,178.0172,63.47007
10.84393,-0.062121,2.05005,-1.575344,320.6746,178.018,63.46879
10.84789,-0.062121,2.05005,-1.575344,320.6746,178.018,63.46879
10.85255,-0.062121,2.05005,-1.575344,320.6746,178.018,63.46879
10.85571,-0.062121,2.05005,-1.575344,320.6746,178.018,63.46879
10.85926,-0.062121,2.05005,-1.575344,320.6746,178.018,63.46879
10.86241,-0.062121,2.05005,-1.575344,320.6746,178.018,63.46879
10.86615,-0.062121,2.05005,-1.575344,320.6746,178.018,63.46879
10.8689,-0.062121,2.05005,-1.575344,320.6746,178.018,63.46879
10.87273,-0.062121,2.05005,-1.575344,320.6746,178.018,63.46879
10.87601,-0.062121,2.05005,-1.575344,320.6746,178.018,63.46879
10.87933,-0.062121,2.05005,-1.575344,320.6746,178.018,63.46879
