time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
9.384634,-0.150653,2.05005,-1.508314,319.0154,187.393,337.9064
9.392233,-0.150653,2.05005,-1.508314,319.0154,187.393,337.9064
9.397326,-0.150653,2.05005,-1.508314,319.0154,187.393,337.9064
9.400283,-0.154077,2.05005,-1.508252,319.0154,187.4165,337.9064
9.404154,-0.154077,2.05005,-1.508252,319.0154,187.4165,337.9064
9.411605,-0.154077,2.05005,-1.508252,319.0154,187.4165,337.9064
9.415153,-0.154077,2.05005,-1.508252,319.0154,187.4165,337.9064
9.419377,-0.154077,2.05005,-1.508252,319.0154,187.4165,337.9064
9.422684,-0.1575,2.05005,-1.508188,319.0154,187.4401,337.9064
9.426501,-0.1575,2.05005,-1.508188,319.0154,187.4401,337.9064
9.429769,-0.1575,2.05005,-1.508188,319.0154,187.4401,337.9064
9.432556,-0.1575,2.05005,-1.508188,319.0154,187.4401,337.9064
9.441536,-0.1575,2.05005,-1.508188,319.0128,187.3506,338.0102
9.444598,-0.1575,2.05005,-1.508188,319.0128,187.3506,338.0102
9.447398,-0.1575,2.05005,-1.508188,319.0128,187.3506,338.0102
9.450216,-0.1575,2.05005,-1.508188,319.0128,187.3506,338.0102
9.452752,-0.1575,2.05005,-1.508188,319.0128,187.3506,338.0102
9.457127,-0.1575,2.05005,-1.508188,319.0128,187.3506,338.0102
9.46075,-0.160924,2.05005,-1.508122,319.0128,187.3742,338.0102
9.464325,-0.160924,2.05005,-1.508122,319.0128,187.3742,338.0102
9.466943,-0.160924,2.05005,-1.508122,319.0128,187.3742,338.0102
9.470191,-0.160924,2.05005,-1.508122,319.0128,187.3742,338.0102
9.473192,-0.160924,2.05005,-1.508122,319.0128,187.3742,338.0102
9.476524,-0.160924,2.05005,-1.508122,319.0128,187.3742,338.0102
9.479624,-0.160924,2.05005,-1.508122,319.0128,187.3742,338.0102
9.48268,-0.167771,2.05005,-1.507987,318.9346,187.2458,338.069
9.486901,-0.167771,2.05005,-1.507987,318.9346,187.2458,338.069
9.48981,-0.167771,2.05005,-1.507987,318.9346,187.2458,338.069
9.492909,-0.167771,2.05005,-1.507987,318.9346,187.2458,338.069
9.495585,-0.167771,2.05005,-1.507987,318.9346,187.2458,338.069
9.498869,-0.167771,2.05005,-1.507987,318.9346,187.2458,338.069
9.501857,-0.174564,2.05005,-1.50527,318.9554,187.2012,338.1028
9.505205,-0.174564,2.05005,-1.50527,318.9554,187.2012,338.1028
9.50861,-0.174564,2.05005,-1.50527,318.9554,187.2012,338.1028
9.511847,-0.174564,2.05005,-1.50527,318.9554,187.2012,338.1028
9.515119,-0.174564,2.05005,-1.50527,318.9554,187.2012,338.1028
9.517999,-0.174564,2.05005,-1.50527,318.9554,187.2012,338.1028
9.520802,-0.181408,2.05005,-1.505123,318.953,187.1588,338.0601
9.524192,-0.181408,2.05005,-1.505123,318.953,187.1588,338.0601
9.52751,-0.181408,2.05005,-1.505123,318.953,187.1588,338.0601
9.531093,-0.181408,2.05005,-1.505123,318.953,187.1588,338.0601
9.534452,-0.181408,2.05005,-1.505123,318.953,187.1588,338.0601
9.537514,-0.181408,2.05005,-1.505123,318.953,187.1588,338.0601
9.540417,-0.188253,2.05005,-1.504972,318.9483,187.0268,338.1212
9.544798,-0.188253,2.05005,-1.504971,318.9483,187.0268,338.1212
9.548312,-0.188253,2.05005,-1.504971,318.9483,187.0268,338.1212
9.550945,-0.188253,2.05005,-1.504971,318.9483,187.0268,338.1212
9.553758,-0.188253,2.05005,-1.504971,318.9483,187.0268,338.1212
9.556701,-0.188253,2.05005,-1.504972,318.9483,187.0268,338.1212
9.560726,-0.195037,2.05005,-1.502237,318.9692,186.9823,338.2281
9.564818,-0.195037,2.05005,-1.502237,318.9692,186.9823,338.2281
9.567694,-0.195037,2.05005,-1.502237,318.9692,186.9823,338.2281
9.570492,-0.195037,2.05005,-1.502237,318.9692,186.9823,338.2281
9.573242,-0.195037,2.05005,-1.502237,318.9692,186.9823,338.2281
9.57647,-0.195037,2.05005,-1.502237,318.9692,186.9823,338.2281
9.579998,-0.195037,2.05005,-1.502237,318.9692,186.9823,338.2281
9.582834,-0.198458,2.05005,-1.502156,318.896,187.0092,338.1527
9.586341,-0.198458,2.05005,-1.502156,318.896,187.0092,338.1527
9.589505,-0.198458,2.05005,-1.502156,318.896,187.0092,338.1527
9.593237,-0.198458,2.05005,-1.502156,318.896,187.0092,338.1527
9.596262,-0.198458,2.05005,-1.502156,318.896,187.0092,338.1527
9.598953,-0.198458,2.05005,-1.502156,318.896,187.0092,338.1527
9.601789,-0.198396,2.05005,-1.499579,318.9858,186.7354,338.3226
9.605085,-0.198396,2.05005,-1.499579,318.9858,186.7354,338.3226
9.611186,-0.198396,2.05005,-1.499579,318.9858,186.7354,338.3226
9.614045,-0.198396,2.05005,-1.499579,318.9858,186.7354,338.3226
9.616963,-0.198396,2.05005,-1.499579,318.9858,186.7354,338.3226
9.619705,-0.198396,2.05005,-1.499579,318.9858,186.7354,338.3226
9.622366,-0.198396,2.05005,-1.499579,318.8438,186.9208,338.1842
9.626504,-0.198396,2.05005,-1.499579,318.8438,186.9208,338.1842
9.629412,-0.198396,2.05005,-1.499579,318.8438,186.9208,338.1842
9.632577,-0.198396,2.05005,-1.499579,318.8438,186.9208,338.1842
9.635796,-0.198396,2.05005,-1.499579,318.8438,186.9208,338.1842
9.638865,-0.198396,2.05005,-1.499579,318.8438,186.9208,338.1842
9.642352,-0.205236,2.05005,-1.499413,318.9148,186.8752,338.2901
9.645584,-0.205236,2.05005,-1.499413,318.9148,186.8752,338.2901
9.648281,-0.205236,2.05005,-1.499413,318.9148,186.8752,338.2901
9.651233,-0.205236,2.05005,-1.499413,318.9148,186.8752,338.2901
9.654156,-0.205236,2.05005,-1.499413,318.9148,186.8752,338.2901
9.657509,-0.205236,2.05005,-1.499413,318.9148,186.8752,338.2901
9.661146,-0.211944,2.05005,-1.494086,318.8148,186.9247,338.2918
9.665026,-0.211944,2.05005,-1.494086,318.8148,186.9247,338.2918
9.667758,-0.211944,2.05005,-1.494086,318.8148,186.9247,338.2918
9.671131,-0.211944,2.05005,-1.494086,318.8148,186.9247,338.2918
9.67382,-0.211944,2.05005,-1.494086,318.8148,186.9247,338.2918
9.677402,-0.211944,2.05005,-1.494086,318.8148,186.9247,338.2918
9.6802,-0.222059,2.05005,-1.488662,318.7859,186.8815,338.3261
9.684439,-0.222059,2.05005,-1.488662,318.7859,186.8815,338.3261
9.68813,-0.222059,2.05005,-1.488662,318.7859,186.8815,338.3261
9.691255,-0.222059,2.05005,-1.488662,318.7859,186.8815,338.3261
9.694849,-0.222059,2.05005,-1.488662,318.7859,186.8815,338.3261
9.69769,-0.222059,2.05005,-1.488662,318.7859,186.8815,338.3261
9.700934,-0.232161,2.05005,-1.483224,318.8282,186.7929,338.3926
9.704766,-0.232161,2.05005,-1.483224,318.8282,186.7929,338.3926
9.707382,-0.232161,2.05005,-1.483224,318.8282,186.7929,338.3926
9.71057,-0.232161,2.05005,-1.483224,318.8282,186.7929,338.3926
9.713848,-0.232161,2.05005,-1.483224,318.8282,186.7929,338.3926
9.717292,-0.232161,2.05005,-1.483224,318.8282,186.7929,338.3926
9.720643,-0.255974,2.05005,-1.479942,318.8474,186.7769,338.456
9.724781,-0.255974,2.05005,-1.479942,318.8474,186.7769,338.456
9.727701,-0.255974,2.05005,-1.479942,318.8474,186.7769,338.456
9.730579,-0.255974,2.05005,-1.479942,318.8474,186.7769,338.456
9.734047,-0.255974,2.05005,-1.479942,318.8474,186.7769,338.456
9.73686,-0.255974,2.05005,-1.479942,318.8474,186.7769,338.456
9.740296,-0.293319,2.05005,-1.473541,318.7398,186.6564,338.5789
9.744501,-0.293319,2.05005,-1.473541,318.7398,186.6564,338.5789
9.747564,-0.293319,2.05005,-1.473541,318.7398,186.6564,338.5789
9.750649,-0.293319,2.05005,-1.473541,318.7398,186.6564,338.5789
9.753366,-0.293319,2.05005,-1.473541,318.7398,186.6564,338.5789
9.75602,-0.293319,2.05005,-1.473541,318.7398,186.6564,338.5789
9.758928,-0.293319,2.05005,-1.473541,318.7398,186.6564,338.5789
9.769023,-0.354346,2.05005,-1.463405,318.7944,186.2701,338.8581
9.77335,-0.354346,2.05005,-1.463405,318.7944,186.2701,338.8581
9.776387,-0.354346,2.05005,-1.463405,318.7944,186.2701,338.8581
9.779898,-0.354346,2.05005,-1.463405,318.7944,186.2701,338.8581
9.782874,-0.367852,2.05005,-1.460231,318.8119,186.0285,338.9808
