time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
9.384634,0,1.244464,2.80571,335.6389,179.9952,39.55613
9.392233,0,1.244464,2.80571,335.6389,179.9952,39.55613
9.397326,0,1.244464,2.80571,335.6389,179.9952,39.55613
9.400283,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.404154,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.411605,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.415153,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.419377,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.422684,0,1.244464,2.80571,335.6389,179.939,39.52699
9.426501,0,1.244464,2.80571,335.6389,179.939,39.52699
9.429769,0,1.244464,2.80571,335.6389,179.939,39.52699
9.432556,0,1.244464,2.80571,335.6389,179.939,39.52699
9.441536,0,1.244464,2.80571,335.6389,179.939,39.60023
9.444598,0,1.244464,2.80571,335.6389,179.939,39.60023
9.447398,0,1.244464,2.80571,335.6389,179.939,39.60023
9.450216,0,1.244464,2.80571,335.6389,179.939,39.60023
9.452752,0,1.244464,2.80571,335.6389,179.939,39.60023
9.457127,0,1.244464,2.80571,335.6389,179.939,39.60023
9.46075,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.464325,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.466943,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.470191,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.473192,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.476524,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.479624,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.48268,0,1.244464,2.80571,335.6389,179.939,39.60023
9.486901,0,1.244464,2.80571,335.6389,179.939,39.60023
9.48981,0,1.244464,2.80571,335.6389,179.939,39.60023
9.492909,0,1.244464,2.80571,335.6389,179.939,39.60023
9.495585,0,1.244464,2.80571,335.6389,179.939,39.60023
9.498869,0,1.244464,2.80571,335.6389,179.939,39.60023
9.501857,0,1.244464,2.80571,335.6389,179.939,39.60023
9.505205,0,1.244464,2.80571,335.6389,179.939,39.60023
9.50861,0,1.244464,2.80571,335.6389,179.939,39.60023
9.511847,0,1.244464,2.80571,335.6389,179.939,39.60023
9.515119,0,1.244464,2.80571,335.6389,179.939,39.60023
9.517999,0,1.244464,2.80571,335.6389,179.939,39.60023
9.520802,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.524192,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.52751,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.531093,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.534452,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.537514,0,1.244464,2.80571,335.7121,179.9389,39.60026
9.540417,0,1.244464,2.80571,335.6389,179.939,39.60023
9.544798,0,1.244464,2.80571,335.6389,179.939,39.60023
9.548312,0,1.244464,2.80571,335.6389,179.939,39.60023
9.550945,0,1.244464,2.80571,335.6389,179.939,39.60023
9.553758,0,1.244464,2.80571,335.6389,179.939,39.60023
9.556701,0,1.244464,2.80571,335.6389,179.939,39.60023
9.560726,0,1.244465,2.80571,335.6389,179.939,39.52699
9.564818,0,1.244465,2.80571,335.6389,179.939,39.52699
9.567694,0,1.244465,2.80571,335.6389,179.939,39.52699
9.570492,0,1.244465,2.80571,335.6389,179.939,39.52699
9.573242,0,1.244465,2.80571,335.6389,179.939,39.52699
9.57647,0,1.244465,2.80571,335.6389,179.939,39.52699
9.579998,0,1.244465,2.80571,335.6389,179.939,39.52699
9.582834,0,1.244464,2.80571,335.6389,179.939,39.60023
9.586341,0,1.244464,2.80571,335.6389,179.939,39.60023
