time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
9.844178,-0.051296,2.05005,-1.498871,318.0674,195.6699,123.1762
9.853661,-0.051296,2.05005,-1.498871,318.0674,195.6699,123.1762
9.859347,-0.051296,2.05005,-1.498871,318.0674,195.6699,123.1762
9.863126,-0.044457,2.05005,-1.49891,318.0611,195.5329,123.2071
9.866859,-0.044457,2.05005,-1.49891,318.0611,195.5329,123.2071
9.870575,-0.044457,2.05005,-1.49891,318.0611,195.5329,123.2071
9.87401,-0.044457,2.05005,-1.49891,318.0611,195.5329,123.2071
9.878108,-0.044457,2.05005,-1.49891,318.0611,195.5329,123.2071
9.881687,-0.041037,2.05005,-1.498928,317.982,195.4285,123.3051
9.886126,-0.041037,2.05005,-1.498928,317.982,195.4285,123.3051
9.889853,-0.041037,2.05005,-1.498928,317.982,195.4285,123.3051
9.894032,-0.041037,2.05005,-1.498928,317.982,195.4285,123.3051
9.89806,-0.041037,2.05005,-1.498928,317.982,195.4285,123.3051
9.901361,-0.041037,2.05005,-1.498928,317.982,195.4285,123.2319
9.905107,-0.041037,2.05005,-1.498927,317.982,195.4285,123.2319
9.909118,-0.041037,2.05005,-1.498928,317.982,195.4285,123.2319
9.913416,-0.041037,2.05005,-1.498928,317.982,195.4285,123.2319
9.91921,-0.041037,2.05005,-1.498928,317.982,195.4285,123.2319
9.924512,-0.041037,2.05005,-1.498928,318.0487,195.3295,123.4154
9.926893,-0.041037,2.05005,-1.498928,318.0487,195.3295,123.4154
9.930706,-0.041037,2.05005,-1.498928,318.0487,195.3295,123.4154
9.93385,-0.041037,2.05005,-1.498928,318.0487,195.3295,123.4154
9.936888,-0.041037,2.05005,-1.498928,318.0487,195.3295,123.4154
9.94041,-0.041037,2.05005,-1.498928,318.0425,195.2395,123.5196
9.944835,-0.041037,2.05005,-1.498928,318.0425,195.2395,123.5196
9.948615,-0.041037,2.05005,-1.498928,318.0425,195.2395,123.5196
9.951797,-0.041037,2.05005,-1.498928,318.0425,195.2395,123.5196
9.962393,-0.041024,2.05005,-1.496358,318.0651,195.2341,123.4545
9.965385,-0.041024,2.05005,-1.496358,318.0651,195.2341,123.4545
9.968856,-0.041024,2.05005,-1.496358,318.0651,195.2341,123.4545
