time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
31.52358,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.5291,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.53265,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.53621,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.54078,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.54509,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.54884,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.55245,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.5573,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.56125,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.56532,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.56908,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.57344,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.57713,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.58079,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.58452,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.58897,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.59298,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.59652,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.60013,0,1.244464,2.65571,335.6389,179.9952,322.5022
31.6045,0,1.244464,2.65571,335.6389,179.9952,322.5022
31.60888,0,1.244464,2.65571,335.6389,179.9952,322.5022
31.61256,0,1.244464,2.65571,335.6389,179.9952,322.5022
31.61611,0,1.244464,2.65571,335.6389,179.9952,322.5022
31.62025,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.62514,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.62881,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.63247,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.63585,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.64011,0,1.244464,2.65571,335.6389,179.9952,322.429
31.64443,0,1.244464,2.65571,335.6389,179.9952,322.429
31.66125,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.66608,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.66921,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.67296,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.67843,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.68238,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.68709,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.69103,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.69418,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.698,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.70137,0,1.244464,2.65571,335.6389,180.0515,322.4581
31.70571,0,1.244464,2.65571,335.6389,180.0515,322.4581
31.70918,0,1.244464,2.65571,335.6389,180.0515,322.4581
31.71254,0,1.244464,2.65571,335.6389,180.0515,322.4581
31.71599,0,1.244464,2.65571,335.6389,180.0515,322.4581
31.71954,0,1.244464,2.65571,335.6389,180.0515,322.4581
31.72344,0,1.244464,2.65571,335.6389,180.0515,322.4581
31.72799,0,1.244464,2.65571,335.6389,180.0515,322.4581
31.73136,0,1.244464,2.65571,335.6389,180.0515,322.4581
31.73429,0,1.244464,2.65571,335.6389,180.0515,322.4581
31.73797,0,1.244464,2.65571,335.6389,180.0515,322.4581
31.74216,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.74636,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.75045,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.75369,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.75786,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.7611,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.76573,0,1.244464,2.65571,335.5656,180.0514,322.4581
31.76932,0,1.244464,2.65571,335.5656,180.0514,322.4581
