time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
27.29324,-0.037917,2.05005,-1.565275,310.4233,201.5388,29.39643
27.29757,-0.037917,2.05005,-1.565275,310.4233,201.5388,29.39643
27.30135,-0.03447,2.05005,-1.56529,310.4233,201.5152,29.32319
27.30647,-0.03447,2.05005,-1.56529,310.4233,201.5152,29.32319
27.31033,-0.03447,2.05005,-1.56529,310.4233,201.5152,29.32319
27.31379,-0.03447,2.05005,-1.56529,310.4233,201.5152,29.32319
27.31761,-0.03447,2.05005,-1.56529,310.4233,201.5152,29.32319
27.32129,-0.034481,2.05005,-1.567866,310.4016,201.5252,29.38337
27.3259,-0.034481,2.05005,-1.567866,310.4016,201.5252,29.38337
27.32965,-0.034481,2.05005,-1.567866,310.4016,201.5252,29.38337
27.33327,-0.034481,2.05005,-1.567866,310.4016,201.5252,29.38337
27.3369,-0.034481,2.05005,-1.567866,310.4016,201.5252,29.38337
27.34152,-0.034491,2.05005,-1.570441,310.3799,201.5351,29.29702
27.34634,-0.034491,2.05005,-1.570441,310.3799,201.5351,29.29702
27.35003,-0.034491,2.05005,-1.570441,310.3799,201.5351,29.29702
27.35354,-0.034491,2.05005,-1.570441,310.3799,201.5351,29.29702
27.35846,-0.034491,2.05005,-1.570441,310.3799,201.5351,29.29702
27.36241,-0.034502,2.05005,-1.573016,310.3581,201.5451,29.35717
27.36652,-0.034502,2.05005,-1.573016,310.3581,201.5451,29.35717
27.37083,-0.034502,2.05005,-1.573016,310.3581,201.5451,29.35717
27.37543,-0.034502,2.05005,-1.573016,310.3581,201.5451,29.35717
27.38056,-0.034502,2.05005,-1.573016,310.3581,201.5451,29.35717
27.38693,-0.034502,2.05005,-1.573016,310.3581,201.5451,29.35717
27.40379,-0.034502,2.05005,-1.573016,310.2771,201.4655,29.30581
27.40761,-0.034502,2.05005,-1.573016,310.2771,201.4655,29.30581
27.4118,-0.034502,2.05005,-1.573016,310.2771,201.4655,29.30581
27.41697,-0.034502,2.05005,-1.573016,310.2771,201.4655,29.30581
27.42012,-0.037952,2.05005,-1.573001,310.3581,201.5687,29.28393
27.42533,-0.037952,2.05005,-1.573001,310.3581,201.5687,29.28393
27.42854,-0.037952,2.05005,-1.573001,310.3581,201.5687,29.28393
27.43171,-0.037952,2.05005,-1.573001,310.3581,201.5687,29.28393
27.43501,-0.037952,2.05005,-1.573001,310.3581,201.5687,29.28393
27.43868,-0.037952,2.05005,-1.573001,310.3581,201.5687,29.28393
27.44217,-0.03794,2.05005,-1.570426,310.3158,201.6692,29.1784
27.44703,-0.03794,2.05005,-1.570426,310.3158,201.6692,29.1784
27.45122,-0.03794,2.05005,-1.570426,310.3158,201.6692,29.1784
27.4545,-0.03794,2.05005,-1.570426,310.3158,201.6692,29.1784
27.45836,-0.03794,2.05005,-1.570426,310.3158,201.6692,29.1784
27.46203,-0.041385,2.05005,-1.569476,310.3158,201.6928,29.25165
27.46689,-0.041385,2.05005,-1.569476,310.3158,201.6928,29.25165
27.47067,-0.041385,2.05005,-1.569476,310.3158,201.6928,29.25165
27.47489,-0.041385,2.05005,-1.569476,310.3158,201.6928,29.25165
27.47876,-0.041385,2.05005,-1.569476,310.3158,201.6928,29.25165
27.48244,-0.04135,2.05005,-1.562455,310.4016,201.5723,29.31011
27.48688,-0.04135,2.05005,-1.562455,310.4016,201.5723,29.31011
27.49094,-0.04135,2.05005,-1.562455,310.4016,201.5723,29.31011
27.4946,-0.04135,2.05005,-1.562455,310.4016,201.5723,29.31011
27.49828,-0.04135,2.05005,-1.562455,310.4016,201.5723,29.31011
27.50199,-0.041246,2.05005,-1.541357,310.4897,201.6128,29.4299
27.50698,-0.041246,2.05005,-1.541357,310.4897,201.6128,29.4299
27.51073,-0.041246,2.05005,-1.541357,310.4897,201.6128,29.4299
27.51442,-0.041246,2.05005,-1.541357,310.4897,201.6128,29.4299
27.51777,-0.041246,2.05005,-1.541357,310.4897,201.6128,29.4299
27.5209,-0.040922,2.05005,-1.475758,310.925,201.4162,29.61593
27.52614,-0.040922,2.05005,-1.475758,310.925,201.4162,29.61593
27.53021,-0.040922,2.05005,-1.475758,310.925,201.4162,29.61593
27.53358,-0.040922,2.05005,-1.475758,310.925,201.4162,29.61593
27.537,-0.040922,2.05005,-1.475758,310.925,201.4162,29.61593
27.55271,-0.043367,2.050049,-1.295017,312.0229,200.8532,30.31355
27.55668,-0.043367,2.050049,-1.295017,312.0229,200.8532,30.31355
27.55998,-0.043367,2.050049,-1.295017,312.0229,200.8532,30.31355
27.56316,-0.042943,2.050048,-1.2158,312.5628,200.5381,30.64452
27.56742,-0.042943,2.050048,-1.2158,312.5628,200.5381,30.64452
27.57087,-0.042943,2.050048,-1.2158,312.5628,200.5381,30.64452
27.57454,-0.042943,2.050048,-1.2158,312.5628,200.5381,30.64452
27.5784,-0.042943,2.050048,-1.2158,312.5628,200.5381,30.64452
27.58203,-0.035633,2.050049,-1.060279,313.6752,199.9665,31.19312
27.58638,-0.035633,2.050049,-1.060279,313.6752,199.9665,31.19312
27.59052,-0.035633,2.050049,-1.060279,313.6752,199.9665,31.19312
27.60174,-0.025331,2.050048,-0.882921,315.1295,199.3219,31.77649
27.60507,-0.025331,2.050048,-0.882921,315.1295,199.3219,31.77649
27.60933,-0.025331,2.050048,-0.882921,315.1295,199.3219,31.77649
27.61233,-0.025331,2.050048,-0.882921,315.1295,199.3219,31.77649
27.61595,-0.025331,2.050048,-0.882921,315.1295,199.3219,31.77649
27.61954,-0.025331,2.050048,-0.882921,315.1295,199.3219,31.77649
27.62292,-0.018605,2.050049,-0.723504,316.2358,198.834,31.87992
