time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.34209,-0.041415,2.05005,-1.57556,318.9637,166.6281,255.2715
8.350356,-0.041415,2.05005,-1.57556,318.9637,166.6281,255.2715
8.356375,-0.041415,2.05005,-1.57556,318.9637,166.6281,255.2715
8.360154,-0.04142,2.05005,-1.576492,318.9637,166.6281,255.2715
8.364629,-0.04142,2.05005,-1.576492,318.9637,166.6281,255.2715
8.367995,-0.04142,2.05005,-1.576492,318.9637,166.6281,255.2715
8.370869,-0.04142,2.05005,-1.576492,318.9637,166.6281,255.2715
8.374157,-0.04142,2.05005,-1.576492,318.9637,166.6281,255.2715
8.37688,-0.04142,2.05005,-1.576492,318.9637,166.6281,255.2715
8.379401,-0.04142,2.05005,-1.576492,318.9637,166.6281,255.2715
8.381854,-0.044857,2.05005,-1.5739,318.9864,166.6564,255.2642
8.386085,-0.044857,2.05005,-1.5739,318.9864,166.6564,255.2642
8.388923,-0.044857,2.05005,-1.5739,318.9864,166.6564,255.2642
8.391842,-0.044857,2.05005,-1.5739,318.9864,166.6564,255.2642
8.394611,-0.044857,2.05005,-1.5739,318.9864,166.6564,255.2642
8.401505,-0.044862,2.05005,-1.574831,318.9189,166.5593,255.2996
8.40392,-0.044862,2.05005,-1.574831,318.9189,166.5593,255.2996
8.406873,-0.044862,2.05005,-1.574831,318.9189,166.5593,255.2996
8.410585,-0.044862,2.05005,-1.574831,318.9189,166.5593,255.2996
8.413507,-0.044862,2.05005,-1.574831,318.9189,166.5593,255.2996
8.416609,-0.044862,2.05005,-1.574831,318.9189,166.5593,255.2996
8.418893,-0.044862,2.05005,-1.574831,318.9189,166.5593,255.2996
8.42142,-0.044862,2.05005,-1.574831,318.9919,166.5672,255.2943
8.425404,-0.044862,2.05005,-1.574831,318.9919,166.5672,255.2943
8.428578,-0.044862,2.05005,-1.574831,318.9919,166.5672,255.2943
8.431946,-0.044862,2.05005,-1.574831,318.9919,166.5672,255.2943
8.434955,-0.044862,2.05005,-1.574831,318.9919,166.5672,255.2943
8.438391,-0.044862,2.05005,-1.574831,318.9919,166.5672,255.2943
8.442244,-0.048319,2.05005,-1.575743,318.9919,166.5908,255.2211
