time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.34209,0,1.244464,2.80571,335.6389,179.939,307.3846
8.350356,0,1.244464,2.80571,335.6389,179.939,307.3846
8.356375,0,1.244464,2.80571,335.6389,179.939,307.3846
8.360154,0,1.244464,2.80571,335.6389,180.0515,307.4428
8.364629,0,1.244464,2.80571,335.6389,180.0515,307.4428
8.367995,0,1.244464,2.80571,335.6389,180.0515,307.4428
8.370869,0,1.244464,2.80571,335.6389,180.0515,307.4428
8.374157,0,1.244464,2.80571,335.6389,180.0515,307.4428
8.37688,0,1.244464,2.80571,335.6389,180.0515,307.4428
8.379401,0,1.244464,2.80571,335.6389,180.0515,307.4428
8.381854,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.386085,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.388923,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.391842,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.394611,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.401505,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.40392,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.406873,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.410585,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.413507,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.416609,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.418893,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.42142,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.425404,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.428578,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.431946,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.434955,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.438391,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.442244,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.446034,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.449276,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.452461,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.455756,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.45892,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.462337,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.46593,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.468667,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.471148,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.474236,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.477275,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.480268,0,1.244464,2.80571,335.7121,179.9389,307.3846
8.490152,0,1.244464,2.80571,335.7121,179.9389,307.3846
8.492086,0,1.244464,2.80571,335.7121,179.9389,307.3846
8.495157,0,1.244464,2.80571,335.7121,179.9389,307.3846
8.498189,0,1.244464,2.80571,335.7121,179.9389,307.3846
8.500951,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.504774,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.507818,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.510775,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.513244,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.515789,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.518338,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.521008,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.524958,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.528009,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.530386,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.532808,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.53523,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.537639,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.541196,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.54462,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.547342,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.550086,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.552549,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.556059,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.559155,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.561896,0,1.244464,2.80571,335.6389,179.939,307.3846
8.565695,0,1.244464,2.80571,335.6389,179.939,307.3846
8.568121,0,1.244464,2.80571,335.6389,179.939,307.3846
8.57122,0,1.244464,2.80571,335.6389,179.939,307.3846
8.574514,0,1.244464,2.80571,335.6389,179.939,307.3846
8.577364,0,1.244464,2.80571,335.6389,179.939,307.3846
8.580374,0,1.244464,2.80571,335.6389,179.939,307.4578
8.583921,0,1.244464,2.80571,335.6389,179.939,307.4578
8.587089,0,1.244464,2.80571,335.6389,179.939,307.4578
8.590795,0,1.244464,2.80571,335.6389,179.939,307.4578
8.593263,0,1.244464,2.80571,335.6389,179.939,307.4578
8.595868,0,1.244464,2.80571,335.6389,179.939,307.4578
8.598456,0,1.244464,2.80571,335.6389,179.939,307.4578
8.601516,0,1.244464,2.80571,335.6389,179.939,307.3846
8.605671,0,1.244464,2.80571,335.6389,179.939,307.3846
8.608325,0,1.244464,2.80571,335.6389,179.939,307.3846
8.611041,0,1.244464,2.80571,335.6389,179.939,307.3846
8.613604,0,1.244464,2.80571,335.6389,179.939,307.3846
8.616191,0,1.244464,2.80571,335.6389,179.939,307.3846
8.619335,0,1.244464,2.80571,335.6389,179.939,307.3846
8.622018,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.625702,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.628296,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.630842,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.634176,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.636661,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.639509,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.642157,0,1.244464,2.80571,335.6389,179.939,307.3846
8.646111,0,1.244464,2.80571,335.6389,179.939,307.3846
8.649781,0,1.244464,2.80571,335.6389,179.939,307.3846
8.652346,0,1.244464,2.80571,335.6389,179.939,307.3846
8.655071,0,1.244464,2.80571,335.6389,179.939,307.3846
8.658219,0,1.244464,2.80571,335.6389,179.939,307.3846
8.661044,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.665053,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.668158,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.670682,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.673793,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.676558,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.679856,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.682781,0,1.244465,2.80571,335.6389,179.9952,307.4137
8.686331,0,1.244465,2.80571,335.6389,179.9952,307.4137
8.689651,0,1.244465,2.80571,335.6389,179.9952,307.4137
8.692351,0,1.244465,2.80571,335.6389,179.9952,307.4137
8.695492,0,1.244465,2.80571,335.6389,179.9952,307.4137
8.698114,0,1.244465,2.80571,335.6389,179.9952,307.4137
8.700675,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.704323,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.707882,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.710923,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.71397,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.716572,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.719049,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.72169,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.72513,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.7282,0,1.244464,2.80571,335.6389,179.9952,307.4137
