time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.28324,0.074937,2.05005,-1.465928,324.4167,171.8074,324.3277
10.29332,0.074937,2.05005,-1.465928,324.4167,171.8074,324.3277
10.30113,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.3138,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.31609,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.31941,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.32289,0.074937,2.05005,-1.465928,324.4199,171.7214,324.3561
10.3292,0.074937,2.05005,-1.465928,324.4199,171.7214,324.3561
10.33283,0.074937,2.05005,-1.465928,324.4199,171.7214,324.3561
10.33677,0.074937,2.05005,-1.465928,324.4199,171.7214,324.3561
10.34029,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.34647,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.34947,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.35248,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.35558,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.35987,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.36292,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.36728,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.37022,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.37375,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.37792,0.074937,2.05005,-1.465928,324.4231,171.6354,324.3846
10.38099,0.074937,2.05005,-1.465928,324.4263,171.5495,324.4131
10.38693,0.074937,2.05005,-1.465928,324.4263,171.5495,324.4131
10.39001,0.074937,2.05005,-1.465928,324.4263,171.5495,324.4131
10.39329,0.074937,2.05005,-1.465928,324.4263,171.5495,324.4131
10.39683,0.074937,2.05005,-1.465928,324.4263,171.5495,324.4131
10.39992,0.074937,2.05005,-1.465928,324.4263,171.5495,324.4131
10.40313,0.071531,2.05005,-1.465958,324.3499,171.6549,324.387
10.40847,0.071531,2.05005,-1.465958,324.3499,171.6549,324.387
10.41132,0.071531,2.05005,-1.465958,324.3499,171.6549,324.387
10.41425,0.071531,2.05005,-1.465958,324.3499,171.6549,324.387
10.41721,0.071531,2.05005,-1.465958,324.3499,171.6549,324.387
10.42031,0.071531,2.05005,-1.465958,324.3499,171.6549,324.387
10.42512,0.071531,2.05005,-1.465958,324.3499,171.6549,324.387
10.42804,0.071531,2.05005,-1.465958,324.3499,171.6549,324.387
10.43096,0.071531,2.05005,-1.465958,324.3499,171.6549,324.387
10.43436,0.071531,2.05005,-1.465958,324.3499,171.6549,324.387
10.4409,0.071531,2.05005,-1.465958,324.4263,171.573,324.4131
10.44965,0.071531,2.05005,-1.465958,324.4263,171.573,324.4131
10.45234,0.071531,2.05005,-1.465958,324.4263,171.573,324.4131
10.45516,0.071531,2.05005,-1.465958,324.4263,171.573,324.4131
10.45888,0.071531,2.05005,-1.465958,324.4263,171.573,324.4131
10.46231,0.071531,2.05005,-1.465958,324.3531,171.5689,324.4155
10.46743,0.071531,2.05005,-1.465958,324.3531,171.5689,324.4155
10.47068,0.071531,2.05005,-1.465958,324.3531,171.5689,324.4155
