time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.28324,0.282742,2.05005,-0.735047,325.6745,197.967,313.3265
10.29332,0.282742,2.05005,-0.735047,325.6745,197.967,313.3265
10.30113,0.282742,2.05005,-0.735047,325.6689,197.8852,313.3449
10.3138,0.282742,2.05005,-0.735047,325.6689,197.8852,313.3449
10.31609,0.282742,2.05005,-0.735047,325.6689,197.8852,313.3449
10.31941,0.282741,2.05005,-0.735047,325.6689,197.8852,313.3449
10.32289,0.282742,2.05005,-0.735047,325.5959,197.8925,313.3408
10.3292,0.282742,2.05005,-0.735047,325.5959,197.8925,313.3408
10.33283,0.282742,2.05005,-0.735047,325.5959,197.8925,313.3408
10.33677,0.282742,2.05005,-0.735047,325.5959,197.8925,313.3408
10.34029,0.282742,2.05005,-0.735047,325.6689,197.8852,313.3449
10.34647,0.282742,2.05005,-0.735047,325.6689,197.8852,313.3449
10.34947,0.282742,2.05005,-0.735047,325.6689,197.8852,313.3449
10.35248,0.282742,2.05005,-0.735047,325.6689,197.8852,313.3449
10.35558,0.282742,2.05005,-0.735047,325.6689,197.8852,313.3449
10.35987,0.282742,2.05005,-0.735047,325.6689,197.8852,313.3449
10.36292,0.282742,2.05005,-0.735047,325.5904,197.8106,313.4325
10.36728,0.282742,2.05005,-0.735047,325.5904,197.8106,313.4325
10.37022,0.282742,2.05005,-0.735047,325.5904,197.8106,313.4325
10.37375,0.282742,2.05005,-0.735047,325.5904,197.8106,313.4325
10.37792,0.282742,2.05005,-0.735047,325.5904,197.8106,313.4325
10.38099,0.282783,2.05005,-0.736158,325.5904,197.8106,313.3592
10.38693,0.282783,2.05005,-0.736158,325.5904,197.8106,313.3592
10.39001,0.282783,2.05005,-0.736158,325.5904,197.8106,313.3592
10.39329,0.282783,2.05005,-0.736158,325.5904,197.8106,313.3592
10.39683,0.282783,2.05005,-0.736158,325.5904,197.8106,313.3592
10.39992,0.282783,2.05005,-0.736158,325.5904,197.8106,313.3592
10.40313,0.282783,2.05005,-0.736158,325.5118,197.7359,313.4468
10.40847,0.282783,2.05005,-0.736158,325.5118,197.7359,313.4468
10.41132,0.282783,2.05005,-0.736158,325.5118,197.7359,313.4468
10.41425,0.282783,2.05005,-0.736158,325.5118,197.7359,313.4468
10.41721,0.282783,2.05005,-0.736158,325.5118,197.7359,313.4468
10.42031,0.282783,2.05005,-0.736158,325.5118,197.7359,313.3736
10.42512,0.282783,2.05005,-0.736158,325.5118,197.7359,313.3736
10.42804,0.282783,2.05005,-0.736158,325.5118,197.7359,313.3736
10.43096,0.282783,2.05005,-0.736158,325.5118,197.7359,313.3736
10.43436,0.282783,2.05005,-0.736158,325.5118,197.7359,313.3736
10.4409,0.282783,2.05005,-0.736158,325.4954,197.4902,313.429
10.44965,0.282783,2.05005,-0.736158,325.4954,197.4902,313.429
10.45234,0.282783,2.05005,-0.736158,325.4954,197.4902,313.429
10.45516,0.282783,2.05005,-0.736158,325.4954,197.4902,313.429
10.45888,0.282783,2.05005,-0.736158,325.4954,197.4902,313.429
10.46231,0.282783,2.05005,-0.736158,325.417,197.4154,313.4435
10.46743,0.282783,2.05005,-0.736158,325.417,197.4154,313.4435
10.47068,0.282783,2.05005,-0.736158,325.417,197.4154,313.4435
10.47354,0.282783,2.05005,-0.736158,325.417,197.4154,313.4435
10.47671,0.282783,2.05005,-0.736158,325.417,197.4154,313.4435
10.48003,0.282783,2.05005,-0.736158,325.4116,197.3335,313.5353
10.48425,0.282783,2.05005,-0.736158,325.4116,197.3335,313.5353
10.48706,0.282783,2.05005,-0.736158,325.4116,197.3335,313.5353
10.49026,0.282783,2.05005,-0.736158,325.4116,197.3335,313.5353
10.49442,0.282783,2.05005,-0.736158,325.4116,197.3335,313.5353
10.49749,0.282783,2.05005,-0.736158,325.4116,197.3335,313.5353
10.5009,0.282783,2.05005,-0.736158,325.4062,197.2515,313.5539
10.5044,0.282783,2.05005,-0.736158,325.4062,197.2515,313.5539
10.50768,0.282783,2.05005,-0.736158,325.4062,197.2515,313.5539
10.51124,0.282783,2.05005,-0.736158,325.4062,197.2515,313.5539
10.51493,0.282783,2.05005,-0.736158,325.4062,197.2515,313.5539
10.51797,0.282783,2.05005,-0.736158,325.4062,197.2515,313.5539
10.52106,0.282783,2.05005,-0.736158,325.3278,197.1766,313.4952
10.52765,0.282783,2.05005,-0.736158,325.3278,197.1766,313.4952
10.53054,0.282783,2.05005,-0.736158,325.3278,197.1766,313.4952
10.53366,0.282783,2.05005,-0.736158,325.3278,197.1766,313.4952
10.53659,0.282783,2.05005,-0.736158,325.3278,197.1766,313.4952
10.53953,0.282783,2.05005,-0.736158,325.3278,197.1766,313.4952
10.54267,0.282783,2.05005,-0.736158,325.2495,197.1016,313.5097
10.54831,0.282783,2.05005,-0.736158,325.2495,197.1016,313.5097
10.55109,0.282783,2.05005,-0.736158,325.2495,197.1016,313.5097
10.55383,0.282783,2.05005,-0.736158,325.2495,197.1016,313.5097
10.55749,0.282783,2.05005,-0.736158,325.2495,197.1016,313.5097
10.56169,0.282783,2.05005,-0.736158,325.3224,197.0946,313.587
10.56695,0.282783,2.05005,-0.736158,325.3224,197.0946,313.587
10.57004,0.282783,2.05005,-0.736158,325.3224,197.0946,313.587
10.57345,0.282783,2.05005,-0.736158,325.3224,197.0946,313.587
10.57806,0.282783,2.05005,-0.736158,325.3224,197.0946,313.587
10.5814,0.279718,2.05005,-0.737385,325.3224,197.1181,313.587
10.58827,0.279718,2.05005,-0.737385,325.3224,197.1181,313.587
10.59231,0.279718,2.05005,-0.737385,325.3224,197.1181,313.587
10.59562,0.279718,2.05005,-0.737385,325.3224,197.1181,313.587
10.59866,0.279718,2.05005,-0.737385,325.3224,197.1181,313.587
10.60184,0.276693,2.05005,-0.739718,325.3902,197.0527,313.6096
10.60831,0.276693,2.05005,-0.739718,325.3902,197.0527,313.6096
10.61236,0.276693,2.05005,-0.739718,325.3902,197.0527,313.6096
10.6155,0.276693,2.05005,-0.739718,325.3902,197.0527,313.6096
10.61826,0.276693,2.05005,-0.739718,325.3902,197.0527,313.6096
